Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
Q9UNM6;Q9UNM6-2,26S proteasome non-ATPase regulatory subunit 13,PSMD13,0.571,0.213,-0.697,0.000,
Q14694;Q14694-3;Q14694-2,Ubiquitin carboxyl-terminal hydrolase 10,USP10,0.570,0.008,-0.557,0.000,
P51116,Fragile X mental retardation syndrome-related protein 2,FXR2,0.569,0.058,-0.893,0.000,
P35270,Sepiapterin reductase,SPR,0.569,0.192,-0.701,0.000,
Q96N66;Q96N66-3;Q96N66-2,Lysophospholipid acyltransferase 7,MBOAT7,0.568,0.414,-0.480,0.000,
Q8NBQ5,Estradiol 17-beta-dehydrogenase 11,HSD17B11,0.568,0.087,-0.516,0.000,
Q5JVF3;Q5JVF3-4;Q5JVF3-3;Q5JVF3-2,PCI domain-containing protein 2,PCID2,0.567,2.275,-0.373,0.000,
Q969Z3;Q969Z3-2,Mitochondrial amidoxime reducing component 2,37316,0.567,0.034,-0.305,0.000,
P06703,Protein S100-A6,S100A6,0.566,1.786,-0.444,0.000,
P23193;P23193-2,Transcription elongation factor A protein 1,TCEA1,0.565,0.011,-0.220,0.000,
Q9UKM9;Q9UKM9-2,RNA-binding protein Raly,RALY,0.565,1.362,-0.365,0.000,
Q9Y3D3;Q9Y3D3-2,"28S ribosomal protein S16, mitochondrial",MRPS16,0.565,0.270,-0.198,0.000,
Q9UKZ1,CCR4-NOT transcription complex subunit 11,CNOT11,0.565,0.562,-0.108,0.000,
P22626;P22626-2,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,0.564,0.214,-0.662,0.000,
P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,0.564,2.728,-0.470,0.000,
Q99714;Q99714-2,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,0.563,0.012,-0.756,0.000,
P12694;P12694-2,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",BCKDHA,0.563,0.048,-0.398,0.000,
P25786;P25786-2,Proteasome subunit alpha type-1,PSMA1,0.562,0.386,-0.479,0.000,
P63208;P63208-2,S-phase kinase-associated protein 1,SKP1,0.562,0.278,0.189,0.000,
P51659;P51659-3;P51659-2,Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2,HSD17B4,0.562,0.014,-0.456,0.000,
Q9Y676,"28S ribosomal protein S18b, mitochondrial",MRPS18B,0.561,0.202,-0.941,0.000,
P45880;P45880-2;P45880-1,Voltage-dependent anion-selective channel protein 2,VDAC2,0.560,0.159,-0.852,0.000,
Q9UQE7,Structural maintenance of chromosomes protein 3,SMC3,0.558,0.154,-0.479,0.000,
Q9NVI1;Q9NVI1-2;Q9NVI1-1,Fanconi anemia group I protein,FANCI,0.557,0.170,-0.191,0.000,
Q86XR7-2;Q9Y3B3;Q9Y3B3-2,TIR domain-containing adapter molecule 2;Transmembrane emp24 domain-containing protein 7,TICAM2;TMED7,0.557,0.067,-0.372,0.000,
Q9H8V3;Q9H8V3-4;Q9H8V3-3;Q9H8V3-2,Protein ECT2,ECT2,0.556,1.646,-0.369,0.000,
Q15599;Q15599-2;Q15599-3,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,SLC9A3R2,0.556,0.113,-0.771,0.000,
O60573;O60573-2,Eukaryotic translation initiation factor 4E type 2,EIF4E2,0.555,0.368,-0.452,0.000,
Q14764,Major vault protein,MVP,0.554,1.923,-0.694,0.000,
P18621;P18621-3;P18621-2,60S ribosomal protein L17,RPL17,0.553,0.013,-0.055,0.000,
P84098,60S ribosomal protein L19,RPL19,0.553,0.030,-0.007,0.000,
P27708,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,0.552,0.741,-0.564,0.000,
Q13641,Trophoblast glycoprotein,TPBG,0.552,4.711,-0.255,0.000,
Q05519;Q05519-2,Serine/arginine-rich splicing factor 11,SRSF11,0.552,1.091,-0.586,0.000,
Q01085-2,Nucleolysin TIAR,TIAL1,0.551,0.430,-0.360,0.000,
P52701;P52701-3;P52701-4;P52701-2,DNA mismatch repair protein Msh6,MSH6,0.550,0.123,-0.246,0.000,
Q9UHI6,Probable ATP-dependent RNA helicase DDX20,DDX20,0.550,0.162,-0.808,0.000,
O95163,Elongator complex protein 1,IKBKAP,0.550,4.582,0.138,0.000,
P30419;P30419-2,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,0.549,0.190,-0.649,0.000,
Q9BYD1,"39S ribosomal protein L13, mitochondrial",MRPL13,0.549,0.013,-0.880,0.000,
Q9H0P0;Q9H0P0-3;Q9H0P0-2;Q9H0P0-1,Cytosolic 5-nucleotidase 3A,NT5C3A,0.548,4.743,0.185,0.000,
Q9BQ75;Q9BQ75-2,Protein CMSS1,CMSS1,0.548,0.048,0.721,0.000,
O75592;O75592-2,E3 ubiquitin-protein ligase MYCBP2,MYCBP2,0.548,3.490,-0.605,0.000,
Q9UK41;Q9UK41-2,Vacuolar protein sorting-associated protein 28 homolog,VPS28,0.547,0.871,-0.445,0.000,
P18615;P18615-3;P18615-4,Negative elongation factor E,NELFE,0.546,0.108,-0.668,0.000,
P20585,DNA mismatch repair protein Msh3,MSH3,0.546,1.545,-0.493,0.000,
Q86Y82,Syntaxin-12,STX12,0.546,0.346,-0.659,0.000,
P08621;P08621-2;P08621-3,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,0.545,2.203,-0.561,0.000,
O75821,Eukaryotic translation initiation factor 3 subunit G,EIF3G,0.544,0.130,0.001,0.000,
O43747;O43747-2,AP-1 complex subunit gamma-1,AP1G1,0.544,0.331,-0.104,0.000,
Q9Y383,Putative RNA-binding protein Luc7-like 2,LUC7L2,0.543,0.932,-0.697,0.000,
Q92979,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,0.543,0.507,-0.640,0.000,
P55735;P55735-3;P55735-2,Protein SEC13 homolog,SEC13,0.542,0.163,0.057,0.000,
Q7Z417,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2,0.542,0.011,-0.106,0.000,
O43813,LanC-like protein 1,LANCL1,0.541,0.092,-0.652,0.000,
P67870,Casein kinase II subunit beta,CSNK2B,0.540,0.171,0.008,0.000,
Q8NE71;Q8NE71-2,ATP-binding cassette sub-family F member 1,ABCF1,0.540,0.009,-0.398,0.000,
P26599;P26599-2;P26599-3,Polypyrimidine tract-binding protein 1,PTBP1,0.539,0.003,-0.682,0.000,
P12814;P12814-3;P12814-2;P12814-4,Alpha-actinin-1,ACTN1,0.538,0.033,0.295,0.000,
Q9NUU7;Q9NUU7-2,ATP-dependent RNA helicase DDX19A,DDX19A,0.538,1.391,-0.364,0.000,
Q9UBR2,Cathepsin Z,CTSZ,0.537,0.663,-0.761,0.000,
Q9UEU0;Q9UEU0-2,Vesicle transport through interaction with t-SNAREs homolog 1B,VTI1B,0.537,0.697,-0.442,0.000,
P19338,Nucleolin,NCL,0.536,0.047,-0.724,0.000,
P43307;P43307-2,Translocon-associated protein subunit alpha,SSR1,0.536,0.052,0.740,0.000,
Q9UNW1;Q9UNW1-4,Multiple inositol polyphosphate phosphatase 1,MINPP1,0.535,0.154,-0.170,0.000,
Q9NTX5;Q9NTX5-6;Q9NTX5-2;Q9NTX5-3,Ethylmalonyl-CoA decarboxylase,ECHDC1,0.535,0.399,-0.384,0.000,
P62995;P62995-3,Transformer-2 protein homolog beta,TRA2B,0.533,0.208,-0.348,0.000,
O75691,Small subunit processome component 20 homolog,UTP20,0.532,1.554,-0.021,0.000,
Q9H0S4;Q9H0S4-2,Probable ATP-dependent RNA helicase DDX47,DDX47,0.531,0.098,-0.419,0.000,
Q92665,"28S ribosomal protein S31, mitochondrial",MRPS31,0.530,0.200,-0.281,0.000,
P07900;P07900-2,Heat shock protein HSP 90-alpha,HSP90AA1,0.529,0.170,-0.059,0.000,
Q9UMX5,Neudesin,NENF,0.529,0.970,-0.080,0.000,
Q02790,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,0.529,0.141,-0.723,0.000,
P17980,26S protease regulatory subunit 6A,PSMC3,0.529,0.070,-0.226,0.000,
O00401,Neural Wiskott-Aldrich syndrome protein,WASL,0.528,0.271,-0.338,0.000,
Q7Z6Z7;Q7Z6Z7-2;Q7Z6Z7-3,E3 ubiquitin-protein ligase HUWE1,HUWE1,0.528,1.016,-0.422,0.000,
Q14019,Coactosin-like protein,COTL1,0.528,0.054,0.216,0.000,
Q9NXW2;Q9NXW2-2,DnaJ homolog subfamily B member 12,DNAJB12,0.528,0.124,-0.490,0.000,
Q8IZP0;Q8IZP0-3;Q8IZP0-2;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0-12;Q8IZP0-11,Abl interactor 1,ABI1,0.528,0.051,-0.290,0.000,
P68400;Q8NEV1;P68400-2,Casein kinase II subunit alpha;Casein kinase II subunit alpha 3,CSNK2A1;CSNK2A3,0.528,1.036,-0.688,0.000,
P42356,Phosphatidylinositol 4-kinase alpha,PI4KA,0.528,1.843,0.175,0.000,
Q6P2Q9,Pre-mRNA-processing-splicing factor 8,PRPF8,0.527,0.008,-0.010,0.000,
P43686;P43686-2,26S protease regulatory subunit 6B,PSMC4,0.527,0.017,-0.514,0.000,
P07602;P07602-2;P07602-3,Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D,PSAP,0.526,0.607,0.406,0.000,
P62280,40S ribosomal protein S11,RPS11,0.526,0.063,-0.462,0.000,
P61916;P61916-2,Epididymal secretory protein E1,NPC2,0.526,0.213,0.125,0.000,
Q96KA5;Q96KA5-2,Cleft lip and palate transmembrane protein 1-like protein,CLPTM1L,0.524,0.677,0.202,0.000,
Q96S52;Q96S52-2,GPI transamidase component PIG-S,PIGS,0.523,0.323,-0.710,0.000,
P15880,40S ribosomal protein S2,RPS2,0.522,0.009,-0.314,0.000,
P08670,Vimentin,VIM,0.521,2.065,-0.219,0.000,
Q9NX62,Inositol monophosphatase 3,IMPAD1,0.521,3.451,-0.435,0.000,
P33897,ATP-binding cassette sub-family D member 1,ABCD1,0.520,0.133,-0.657,0.000,
Q7Z392;Q7Z392-3;Q7Z392-4,Trafficking protein particle complex subunit 11,TRAPPC11,0.520,1.936,-0.472,0.000,
P41250,Glycine--tRNA ligase,GARS,0.520,0.094,-0.359,0.000,
P14314-2;P14314,Glucosidase 2 subunit beta,PRKCSH,0.520,0.057,0.628,0.000,
Q9NUQ9;Q9NUQ9-2,Protein FAM49B,FAM49B,0.520,0.371,-0.409,0.000,
Q99848,Probable rRNA-processing protein EBP2,EBNA1BP2,0.518,0.062,-0.132,0.000,
P54819;P54819-2;P54819-6;P54819-3;P54819-5;P54819-4,"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed",AK2,0.518,0.001,-0.450,0.000,
Q15637-4;Q15637-2;Q15637-6;Q15637-3;Q15637;Q15637-7,Splicing factor 1,SF1,0.517,1.165,0.523,0.000,
P21796,Voltage-dependent anion-selective channel protein 1,VDAC1,0.516,0.007,-0.293,0.000,
Q9NTJ3;Q9NTJ3-2,Structural maintenance of chromosomes protein 4,SMC4,0.515,0.024,-0.403,0.000,
O75396,Vesicle-trafficking protein SEC22b,SEC22B,0.515,0.116,0.316,0.000,
O96005;O96005-3;O96005-4,Cleft lip and palate transmembrane protein 1,CLPTM1,0.515,0.226,0.039,0.000,
Q52LJ0-2;Q52LJ0,Protein FAM98B,FAM98B,0.514,0.535,-0.356,0.000,
P32754;P32754-2,4-hydroxyphenylpyruvate dioxygenase,HPD,0.514,0.901,-0.765,0.000,
Q9HD45,Transmembrane 9 superfamily member 3,TM9SF3,0.513,0.113,-0.741,0.000,
Q92900;Q92900-2,Regulator of nonsense transcripts 1,UPF1,0.513,0.012,-0.548,0.000,
P04844;P04844-2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,0.512,0.032,0.827,0.000,
P53990;P53990-4;P53990-2;P53990-5;P53990-3,IST1 homolog,IST1,0.512,0.285,-0.104,0.000,
O43852;O43852-3;O43852-6;O43852-15;O43852-10;O43852-5,Calumenin,CALU,0.512,0.162,0.636,0.000,
Q9NRW7,Vacuolar protein sorting-associated protein 45,VPS45,0.511,0.199,0.596,0.000,
Q9C0D5;Q9C0D5-2,Protein TANC1,TANC1,0.510,0.154,-0.018,0.000,
P07099,Epoxide hydrolase 1,EPHX1,0.510,0.056,-0.374,0.000,
P38159;P38159-2,"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed",RBMX,0.510,0.197,-0.143,0.000,
P40925;P40925-3;P40925-2,"Malate dehydrogenase, cytoplasmic",MDH1,0.509,0.616,-0.148,0.000,
P12268,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,0.509,1.480,-0.117,0.000,
Q9Y2Q5;Q9Y2Q5-2;Q9Y2Q5-3,Ragulator complex protein LAMTOR2,LAMTOR2,0.509,1.556,-0.078,0.000,
Q9H8S9;Q7L9L4;Q7L9L4-2;Q9H8S9-2,MOB kinase activator 1A;MOB kinase activator 1B,MOB1A;MOB1B,0.508,0.679,-0.017,0.000,
Q02127,"Dihydroorotate dehydrogenase (quinone), mitochondrial",DHODH,0.508,7.926,-0.206,0.000,
Q13838;Q13838-2,Spliceosome RNA helicase DDX39B,DDX39B,0.508,0.012,-0.483,0.000,
Q96TA1;Q96TA1-2,Niban-like protein 1,FAM129B,0.507,0.017,-0.448,0.000,
Q9BZG1;Q9BZG1-4;Q9BZG1-2,Ras-related protein Rab-34,RAB34,0.507,0.044,-0.637,0.000,
O75122-3,CLIP-associating protein 2,CLASP2,0.507,1.065,-0.758,0.000,
Q9Y266,Nuclear migration protein nudC,NUDC,0.506,0.633,0.585,0.000,
Q96JJ3;Q96JJ3-3,Engulfment and cell motility protein 2,ELMO2,0.506,0.036,-0.001,0.000,
Q69YQ0;Q69YQ0-2,Cytospin-A,SPECC1L,0.506,1.127,0.272,0.000,
O00469-2;O00469;O00469-3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,0.506,0.013,-0.390,0.000,
Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1,0.504,0.005,-0.449,0.000,
O95758-5;O95758;O95758-2;O95758-1;O95758-6;O95758-4;O95758-7,Polypyrimidine tract-binding protein 3,PTBP3,0.503,0.412,-0.850,0.000,
Q6NUQ4;Q6NUQ4-2,Transmembrane protein 214,TMEM214,0.502,0.033,-0.330,0.000,
P68133;P68032;P62736;P63267;P63267-2,"Actin, alpha skeletal muscle;Actin, alpha cardiac muscle 1;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle",ACTA1;ACTC1;ACTA2;ACTG2,0.502,0.398,0.573,0.000,
Q96A65,Exocyst complex component 4,EXOC4,0.502,0.057,-0.255,0.000,
Q12802;Q12802-2;Q12802-4,A-kinase anchor protein 13,AKAP13,0.502,0.379,0.213,0.000,
Q9Y285;Q9Y285-2,Phenylalanine--tRNA ligase alpha subunit,FARSA,0.502,0.029,0.380,0.000,
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2,0.498,0.086,-0.578,0.000,
P14373;P14373-2,Zinc finger protein RFP,TRIM27,0.498,1.133,-0.212,0.000,
Q12792;Q12792-3;Q12792-4,Twinfilin-1,TWF1,0.497,1.320,-0.461,0.000,
Q8WWM7;Q8WWM7-6;Q8WWM7-8;Q8WWM7-5;Q8WWM7-4;Q8WWM7-2;Q8WWM7-3,Ataxin-2-like protein,ATXN2L,0.497,0.142,0.125,0.000,
Q96Q15;Q96Q15-2;Q96Q15-3;Q96Q15-4,Serine/threonine-protein kinase SMG1,SMG1,0.496,0.827,-0.016,0.000,
P55036;P55036-2,26S proteasome non-ATPase regulatory subunit 4,PSMD4,0.496,2.431,-0.212,0.000,
Q92538;Q92538-3;Q92538-2,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,0.495,1.466,-0.605,0.000,
Q96DB5;Q96DB5-2;Q96DB5-3,Regulator of microtubule dynamics protein 1,RMDN1,0.495,0.511,-0.082,0.000,
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PPIF,0.494,0.011,0.205,0.000,
Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",AARS2,0.493,1.267,-0.492,0.000,
Q9NXS2;Q9NXS2-3,Glutaminyl-peptide cyclotransferase-like protein,QPCTL,0.492,0.242,0.015,0.000,
Q9NRA8;Q9NRA8-3;Q9NRA8-2,Eukaryotic translation initiation factor 4E transporter,EIF4ENIF1,0.491,0.826,-0.243,0.000,
Q9UHD8;Q9UHD8-2;Q9UHD8-7;Q9UHD8-5;Q9UHD8-3,Septin-9,40057,0.491,0.388,-0.565,0.000,
P61923;P61923-5;P61923-4;P61923-3,Coatomer subunit zeta-1,COPZ1,0.491,0.062,0.484,0.000,
O75746;O75746-2,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,0.490,0.376,-0.681,0.000,
P48556,26S proteasome non-ATPase regulatory subunit 8,PSMD8,0.490,0.269,-0.152,0.000,
Q9H910;Q9H910-2;Q9H910-3,Hematological and neurological expressed 1-like protein,HN1L,0.489,4.641,-0.373,0.000,
Q04917,14-3-3 protein eta,YWHAH,0.489,0.033,-0.221,0.000,
P41227;P41227-2,N-alpha-acetyltransferase 10,NAA10,0.488,1.013,-0.343,0.000,
P78344;P78344-2,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2,0.488,0.003,-0.347,0.000,
P62826,GTP-binding nuclear protein Ran,RAN,0.488,0.070,-0.355,0.000,
O00299,Chloride intracellular channel protein 1,CLIC1,0.488,0.762,-0.578,0.000,
Q16719;Q16719-2,Kynureninase,KYNU,0.486,3.218,-0.365,0.000,
P54578;P54578-2;P54578-3,Ubiquitin carboxyl-terminal hydrolase 14,USP14,0.486,0.265,-0.368,0.000,
Q13418;Q13418-2;Q13418-3,Integrin-linked protein kinase,ILK,0.486,0.069,0.162,0.000,
P48729;P48729-2;P48729-3,Casein kinase I isoform alpha,CSNK1A1,0.485,1.506,-0.148,0.000,
P11177;P11177-2;P11177-3,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,0.484,0.004,-0.871,0.000,
P43243,Matrin-3,MATR3,0.483,0.196,-0.606,0.000,
P45974-2;P45974,Ubiquitin carboxyl-terminal hydrolase 5,USP5,0.483,1.791,0.155,0.000,
Q9P2B2,Prostaglandin F2 receptor negative regulator,PTGFRN,0.483,5.111,0.174,0.000,
Q13895,Bystin,BYSL,0.483,1.076,-0.922,0.000,
Q9NX63,MICOS complex subunit MIC19,CHCHD3,0.483,0.067,-0.231,0.000,
Q14258,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,0.482,0.004,-0.328,0.000,
P61313,60S ribosomal protein L15,RPL15,0.481,0.008,-0.408,0.000,
Q9UNF0;Q9UNF0-2,Protein kinase C and casein kinase substrate in neurons protein 2,PACSIN2,0.480,0.788,-0.058,0.000,
P98155;P98155-2,Very low-density lipoprotein receptor,VLDLR,0.478,1.553,0.418,0.000,
Q96HY6;Q96HY6-2,DDRGK domain-containing protein 1,DDRGK1,0.478,0.025,-0.747,0.000,
P62745,Rho-related GTP-binding protein RhoB,RHOB,0.476,6.012,-0.446,0.000,
Q12769,Nuclear pore complex protein Nup160,NUP160,0.476,0.458,0.260,0.000,
Q01844;Q01844-6;Q01844-3;Q01844-5;Q01844-2,RNA-binding protein EWS,EWSR1,0.475,0.013,-0.510,0.000,
Q9UGP8,Translocation protein SEC63 homolog,SEC63,0.475,0.174,-0.828,0.000,
Q92797,Symplekin,SYMPK,0.474,1.135,-0.426,0.000,
Q92604,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,LPGAT1,0.474,0.163,-0.089,0.000,
Q9HCS7,Pre-mRNA-splicing factor SYF1,XAB2,0.474,0.402,-0.906,0.000,
Q9BSJ2;Q9BSJ2-4;Q9BSJ2-3,Gamma-tubulin complex component 2,TUBGCP2,0.473,0.007,-0.843,0.000,
P06753-2;P06753-6,Tropomyosin alpha-3 chain,TPM3,0.472,0.710,-0.655,0.000,
Q13637,Ras-related protein Rab-32,RAB32,0.471,0.025,-0.610,0.000,
P98194-7;P98194-5;P98194-9;P98194-6;P98194-8,Calcium-transporting ATPase type 2C member 1,ATP2C1,0.470,0.059,-0.699,0.000,
P08238,Heat shock protein HSP 90-beta,HSP90AB1,0.470,0.041,0.048,0.000,
P14927;P14927-2,Cytochrome b-c1 complex subunit 7,UQCRB,0.469,6.325,-0.113,0.000,
Q9GZS3,"WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed",WDR61,0.469,0.040,0.096,0.000,
P07195,L-lactate dehydrogenase B chain,LDHB,0.469,0.036,0.234,0.000,
P30041,Peroxiredoxin-6,PRDX6,0.468,0.430,0.096,0.000,
Q8WX92,Negative elongation factor B,NELFB,0.468,0.736,-0.495,0.000,
O94906;O94906-2,Pre-mRNA-processing factor 6,PRPF6,0.468,2.058,0.005,0.000,
Q12797;Q12797-10,Aspartyl/asparaginyl beta-hydroxylase,ASPH,0.468,0.009,-0.099,0.000,
P11166,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,0.468,1.347,0.678,0.000,
P07814,Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase,EPRS,0.467,0.063,-0.064,0.000,
Q71RC2;Q71RC2-4;Q71RC2-5;Q71RC2-3;Q71RC2-6;Q71RC2-2;Q71RC2-7,La-related protein 4,LARP4,0.467,0.030,-0.096,0.000,
P14868;P14868-2,"Aspartate--tRNA ligase, cytoplasmic",DARS,0.466,0.038,0.847,0.000,
Q14011;Q14011-2,Cold-inducible RNA-binding protein,CIRBP,0.466,0.255,-0.483,0.000,
P82664,"28S ribosomal protein S10, mitochondrial",MRPS10,0.466,0.143,-0.904,0.000,
Q9NP58;Q9NP58-4,"ATP-binding cassette sub-family B member 6, mitochondrial",ABCB6,0.466,0.101,-0.424,0.000,
Q9NVH1;Q9NVH1-3;Q9NVH1-2,DnaJ homolog subfamily C member 11,DNAJC11,0.465,1.318,-0.090,0.000,
P08758,Annexin A5,ANXA5,0.465,0.698,0.482,0.000,
Q9UHR4,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,BAIAP2L1,0.465,0.060,-0.393,0.000,
P36871;P36871-2;P36871-3,Phosphoglucomutase-1,PGM1,0.465,0.251,-0.171,0.000,
Q99661;Q99661-2,Kinesin-like protein KIF2C,KIF2C,0.464,0.276,-0.308,0.000,
O75937,DnaJ homolog subfamily C member 8,DNAJC8,0.464,0.230,-0.810,0.000,
P35237,Serpin B6,SERPINB6,0.463,1.144,-0.131,0.000,
Q99733;Q99733-2,Nucleosome assembly protein 1-like 4,NAP1L4,0.463,0.208,-0.314,0.000,
Q13421-4;Q13421-3;Q13421-2;Q13421,"Mesothelin;Megakaryocyte-potentiating factor;Mesothelin, cleaved form",MSLN,0.463,1.358,-0.211,0.000,
Q9GZR7;Q9GZR7-2,ATP-dependent RNA helicase DDX24,DDX24,0.463,2.347,-0.467,0.000,
P61764;P61764-2,Syntaxin-binding protein 1,STXBP1,0.463,0.002,-0.289,0.000,
Q06481;Q06481-3;Q06481-6;Q06481-2;Q06481-5,Amyloid-like protein 2,APLP2,0.462,3.328,0.696,0.000,
O15427,Monocarboxylate transporter 4,SLC16A3,0.462,0.106,-0.693,0.000,
Q92905,COP9 signalosome complex subunit 5,COPS5,0.460,2.294,-0.794,0.000,
P53007,"Tricarboxylate transport protein, mitochondrial",SLC25A1,0.459,0.014,-0.930,0.000,
Q8ND56;Q8ND56-3;Q8ND56-2,Protein LSM14 homolog A,LSM14A,0.459,0.549,-0.297,0.000,
P50454,Serpin H1,SERPINH1,0.459,0.013,0.841,0.000,
Q9H2D6-5,TRIO and F-actin-binding protein,TRIOBP,0.459,0.340,0.530,0.000,
Q7L1Q6;Q7L1Q6-4;Q7L1Q6-3;Q7L1Q6-2,Basic leucine zipper and W2 domain-containing protein 1,BZW1,0.458,0.010,-0.559,0.000,
P23526;P23526-2,Adenosylhomocysteinase,AHCY,0.458,0.681,0.267,0.000,
P63092;Q5JWF2;P63092-4,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAS,0.455,0.475,-0.235,0.000,
Q00325-2;Q00325,"Phosphate carrier protein, mitochondrial",SLC25A3,0.454,0.004,-0.176,0.000,
Q92599;Q92599-4;Q92599-2;Q92599-3,Septin-8,39692,0.453,0.749,-0.195,0.000,
Q8NBJ7;Q8NBJ7-2;Q8NBJ7-5,Sulfatase-modifying factor 2,SUMF2,0.453,0.328,-0.576,0.000,
Q9UG63;Q9UG63-2,ATP-binding cassette sub-family F member 2,ABCF2,0.452,0.009,-0.580,0.000,
Q14152;Q14152-2,Eukaryotic translation initiation factor 3 subunit A,EIF3A,0.451,0.002,-0.844,0.000,
Q9Y3L5,Ras-related protein Rap-2c,RAP2C,0.451,0.053,0.319,0.000,
P62070;P62070-4;P62070-3;P62070-2,Ras-related protein R-Ras2,RRAS2,0.450,0.323,-0.393,0.000,
P14324;P14324-2,Farnesyl pyrophosphate synthase,FDPS,0.449,1.208,-0.448,0.000,
Q06323;Q06323-2;Q06323-3,Proteasome activator complex subunit 1,PSME1,0.449,0.184,-0.040,0.000,
P49589-3;P49589,"Cysteine--tRNA ligase, cytoplasmic",CARS,0.449,0.698,-0.044,0.000,
P62899;P62899-3;P62899-2,60S ribosomal protein L31,RPL31,0.448,0.070,-0.117,0.000,
P50238,Cysteine-rich protein 1,CRIP1,0.448,0.583,0.240,0.000,
Q9UL26,Ras-related protein Rab-22A,RAB22A,0.448,3.796,0.543,0.000,
P15586;P15586-2,N-acetylglucosamine-6-sulfatase,GNS,0.448,0.458,-0.175,0.000,
Q16851-2;Q16851,UTP--glucose-1-phosphate uridylyltransferase,UGP2,0.445,1.134,-0.509,0.000,
O75165,DnaJ homolog subfamily C member 13,DNAJC13,0.440,0.722,0.678,0.000,
Q13573,SNW domain-containing protein 1,SNW1,0.440,2.629,-0.049,0.000,
P20645,Cation-dependent mannose-6-phosphate receptor,M6PR,0.439,0.113,0.776,0.000,
P21281,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,0.438,0.740,-0.776,0.000,
P04406;P04406-2,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,0.438,0.052,-0.148,0.000,
P53350,Serine/threonine-protein kinase PLK1,PLK1,0.436,0.500,-0.387,0.000,
P26640,Valine--tRNA ligase,VARS,0.435,0.075,-0.022,0.000,
P40222,Alpha-taxilin,TXLNA,0.435,0.079,-0.035,0.000,
Q9H3Q1;Q9H3Q1-2,Cdc42 effector protein 4,CDC42EP4,0.435,2.850,-0.388,0.000,
P22307;P22307-8;P22307-4;P22307-7;P22307-2;P22307-6,Non-specific lipid-transfer protein,SCP2,0.435,0.036,0.101,0.000,
P04062;P04062-4;P04062-2;P04062-5,Glucosylceramidase,GBA,0.435,0.332,-0.671,0.000,
Q6NUK1;Q6NUK1-2,Calcium-binding mitochondrial carrier protein SCaMC-1,SLC25A24,0.435,0.013,-0.202,0.000,
P63104;P63104-2,14-3-3 protein zeta/delta,YWHAZ,0.434,0.043,-0.072,0.000,
Q27J81;Q27J81-2,Inverted formin-2,INF2,0.433,0.043,-0.122,0.000,
O75431;O75431-2,Metaxin-2,MTX2,0.432,0.009,-0.679,0.000,
