UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
P11440,Cyclin-dependent kinase 1 GN=Cdk1 PE=1 SV=3 - [CDK1_MOUSE],12,26,51.5,0.171,0.118,0.082,0.051,0.057,0.072,0.074,0.128,0.110,0.135
Q6PGB6-2,Isoform 2 of N-alpha-acetyltransferase 50 GN=Naa50 - [NAA50_MOUSE],12,26,45.8,0.198,0.055,0.052,0.028,0.045,0.054,0.065,0.161,0.088,0.255
P26369,Splicing factor U2AF 65 kDa subunit GN=U2af2 PE=1 SV=3 - [U2AF2_MOUSE],12,25,37.3,0.199,0.014,0.026,0.009,0.020,0.031,0.050,0.105,0.382,0.164
Q61466,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 GN=Smarcd1 PE=1 SV=3 - [SMRD1_MOUSE],12,25,34.4,0.096,0.000,0.008,0.000,0.009,0.028,0.111,0.256,0.245,0.246
O70252,Heme oxygenase 2 GN=Hmox2 PE=2 SV=1 - [HMOX2_MOUSE],12,24,37.5,0.000,0.086,0.071,0.057,0.141,0.221,0.116,0.160,0.009,0.140
P54227,Stathmin GN=Stmn1 PE=1 SV=2 - [STMN1_MOUSE],12,24,60.4,0.446,0.189,0.146,0.063,0.083,0.044,0.014,0.009,0.002,0.005
P70460,Vasodilator-stimulated phosphoprotein GN=Vasp PE=1 SV=4 - [VASP_MOUSE],12,24,40.0,0.101,0.309,0.193,0.092,0.140,0.055,0.024,0.039,0.014,0.033
Q6ZQL4,WD repeat-containing protein 43 GN=Wdr43 PE=1 SV=2 - [WDR43_MOUSE],12,24,35.0,0.122,0.007,0.013,0.000,0.007,0.018,0.064,0.203,0.348,0.218
Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial GN=Sdhb PE=1 SV=1 - [DHSB_MOUSE]",12,24,47.2,0.000,0.017,0.019,0.015,0.030,0.095,0.285,0.242,0.058,0.238
P45376,Aldose reductase GN=Akr1b1 PE=1 SV=3 - [ALDR_MOUSE],12,23,41.1,0.572,0.112,0.113,0.050,0.067,0.036,0.012,0.014,0.009,0.015
P49312,Heterogeneous nuclear ribonucleoprotein A1 GN=Hnrnpa1 PE=1 SV=2 - [ROA1_MOUSE],12,23,58.4,0.151,0.007,0.017,0.003,0.012,0.022,0.043,0.074,0.543,0.128
Q6IRU2,Tropomyosin alpha-4 chain GN=Tpm4 PE=2 SV=3 - [TPM4_MOUSE],12,23,41.9,0.164,0.231,0.154,0.100,0.161,0.109,0.032,0.025,0.012,0.011
P97930,Thymidylate kinase GN=Dtymk PE=2 SV=2 - [KTHY_MOUSE],12,22,62.7,0.271,0.060,0.056,0.038,0.047,0.063,0.113,0.176,0.018,0.158
Q61733,"28S ribosomal protein S31, mitochondrial GN=Mrps31 PE=2 SV=1 - [RT31_MOUSE]",12,22,44.5,0.000,0.013,0.011,0.012,0.025,0.085,0.244,0.292,0.051,0.267
Q61792,LIM and SH3 domain protein 1 GN=Lasp1 PE=1 SV=1 - [LASP1_MOUSE],12,22,40.3,0.175,0.191,0.131,0.081,0.141,0.071,0.033,0.069,0.031,0.077
Q8BJM7,tRNA wybutosine-synthesizing protein 1 homolog GN=Tyw1 PE=1 SV=1 - [TYW1_MOUSE],12,22,24.3,0.000,0.066,0.078,0.052,0.140,0.259,0.142,0.149,0.002,0.111
Q8JZK9,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic GN=Hmgcs1 PE=1 SV=1 - [HMCS1_MOUSE]",12,22,31.2,0.595,0.113,0.103,0.044,0.052,0.038,0.017,0.013,0.013,0.012
Q99LP6,"GrpE protein homolog 1, mitochondrial GN=Grpel1 PE=1 SV=1 - [GRPE1_MOUSE]",12,22,55.8,0.001,0.013,0.019,0.014,0.032,0.093,0.257,0.284,0.016,0.271
Q9CYZ2,Tumor protein D54 GN=Tpd52l2 PE=1 SV=1 - [TPD54_MOUSE],12,22,50.5,0.155,0.105,0.092,0.078,0.196,0.108,0.058,0.109,0.009,0.091
Q9DC69,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial GN=Ndufa9 PE=1 SV=2 - [NDUA9_MOUSE]",12,22,30.2,0.000,0.011,0.012,0.011,0.032,0.083,0.185,0.317,0.084,0.265
A2AQ25,Sickle tail protein GN=Skt PE=1 SV=1 - [SKT_MOUSE]|Isoform 2 of Sickle tail protein GN=Skt - [SKT_MOUSE],12,21,12.2,0.050,0.192,0.133,0.066,0.109,0.160,0.126,0.062,0.048,0.055
P68510,14-3-3 protein eta GN=Ywhah PE=1 SV=2 - [1433F_MOUSE],12,21,64.2,0.256,0.225,0.160,0.097,0.141,0.066,0.021,0.012,0.013,0.010
Q62188,Dihydropyrimidinase-related protein 3 GN=Dpysl3 PE=1 SV=1 - [DPYL3_MOUSE],12,21,28.8,0.113,0.075,0.060,0.036,0.045,0.036,0.066,0.274,0.039,0.256
Q922E6,FAST kinase domain-containing protein 2 GN=Fastkd2 PE=2 SV=2 - [FAKD2_MOUSE],12,21,21.3,0.000,0.010,0.012,0.000,0.034,0.104,0.308,0.254,0.035,0.242
Q9CZR8,"Elongation factor Ts, mitochondrial GN=Tsfm PE=2 SV=1 - [EFTS_MOUSE]",12,21,59.6,0.000,0.013,0.013,0.010,0.028,0.080,0.217,0.336,0.024,0.279
Q9DBH5,Vesicular integral-membrane protein VIP36 GN=Lman2 PE=2 SV=2 - [LMAN2_MOUSE],12,21,40.2,0.000,0.052,0.072,0.058,0.187,0.198,0.091,0.180,0.010,0.153
Q8CHY6,Transcriptional repressor p66 alpha GN=Gatad2a PE=1 SV=2 - [P66A_MOUSE],12,20,32.8,0.037,0.011,0.007,0.004,0.011,0.034,0.112,0.287,0.244,0.255
P28658,Ataxin-10 GN=Atxn10 PE=1 SV=2 - [ATX10_MOUSE],12,19,35.4,0.458,0.091,0.092,0.050,0.081,0.053,0.031,0.065,0.022,0.057
P50518,V-type proton ATPase subunit E 1 GN=Atp6v1e1 PE=1 SV=2 - [VATE1_MOUSE],12,19,52.2,0.152,0.098,0.130,0.111,0.244,0.115,0.043,0.050,0.015,0.044
P57784,U2 small nuclear ribonucleoprotein A' GN=Snrpa1 PE=1 SV=2 - [RU2A_MOUSE],12,19,66.7,0.231,0.010,0.023,0.006,0.026,0.030,0.044,0.091,0.323,0.217
P97384,Annexin A11 GN=Anxa11 PE=1 SV=2 - [ANX11_MOUSE],12,19,30.0,0.286,0.147,0.156,0.085,0.138,0.075,0.032,0.039,0.008,0.035
Q61024,Asparagine synthetase [glutamine-hydrolyzing] GN=Asns PE=2 SV=3 - [ASNS_MOUSE],12,19,34.6,0.492,0.141,0.142,0.061,0.069,0.044,0.016,0.010,0.011,0.013
Q8BH57,WD repeat-containing protein 48 GN=Wdr48 PE=1 SV=1 - [WDR48_MOUSE],12,19,23.8,0.059,0.233,0.130,0.098,0.113,0.113,0.066,0.065,0.043,0.081
Q8R2Q4-3,"Isoform 3 of Ribosome-releasing factor 2, mitochondrial GN=Gfm2 - [RRF2M_MOUSE]",12,19,27.8,0.003,0.018,0.018,0.016,0.031,0.090,0.295,0.271,0.017,0.241
Q8VCN5,Cystathionine gamma-lyase GN=Cth PE=1 SV=1 - [CGL_MOUSE],12,19,49.5,0.434,0.142,0.132,0.057,0.081,0.047,0.022,0.035,0.011,0.039
Q9DBG5,Perilipin-3 GN=Plin3 PE=1 SV=1 - [PLIN3_MOUSE],12,19,49.0,0.461,0.110,0.099,0.050,0.079,0.054,0.027,0.056,0.017,0.048
O35604,Niemann-Pick C1 protein GN=Npc1 PE=1 SV=2 - [NPC1_MOUSE],12,18,14.3,0.000,0.099,0.189,0.155,0.350,0.124,0.042,0.023,0.000,0.018
O35887,Calumenin GN=Calu PE=1 SV=1 - [CALU_MOUSE],12,18,41.3,0.025,0.067,0.060,0.055,0.109,0.315,0.168,0.106,0.006,0.089
P27641,X-ray repair cross-complementing protein 5 GN=Xrcc5 PE=2 SV=4 - [XRCC5_MOUSE],12,18,30.2,0.317,0.016,0.024,0.000,0.013,0.032,0.112,0.209,0.062,0.213
P48193,Protein 4.1 GN=Epb41 PE=1 SV=2 - [41_MOUSE],12,18,23.3,0.014,0.282,0.170,0.100,0.152,0.135,0.064,0.030,0.026,0.027
Q3V1H1,Cytoskeleton-associated protein 2 GN=Ckap2 PE=2 SV=1 - [CKAP2_MOUSE],12,18,19.6,0.034,0.033,0.037,0.011,0.024,0.042,0.107,0.310,0.143,0.260
Q6PA06,Atlastin-2 GN=Atl2 PE=1 SV=1 - [ATLA2_MOUSE],12,18,31.4,0.011,0.060,0.083,0.058,0.177,0.251,0.121,0.136,0.000,0.102
Q6PDM2,Serine/arginine-rich splicing factor 1 GN=Srsf1 PE=1 SV=3 - [SRSF1_MOUSE],12,18,50.4,0.370,0.016,0.038,0.005,0.013,0.013,0.025,0.028,0.452,0.039
Q80X41-5,Isoform 5 of Serine/threonine-protein kinase VRK1 GN=Vrk1 - [VRK1_MOUSE],12,18,32.9,0.105,0.026,0.027,0.015,0.030,0.058,0.131,0.218,0.168,0.223
Q8BFY9-2,Isoform 2 of Transportin-1 GN=Tnpo1 - [TNPO1_MOUSE],12,18,22.6,0.599,0.056,0.074,0.026,0.031,0.031,0.025,0.039,0.074,0.046
Q8BG05,Heterogeneous nuclear ribonucleoprotein A3 GN=Hnrnpa3 PE=1 SV=1 - [ROA3_MOUSE],12,18,34.3,0.151,0.012,0.018,0.001,0.013,0.012,0.033,0.076,0.549,0.134
Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1 GN=Ahsa1 PE=2 SV=2 - [AHSA1_MOUSE],12,18,51.8,0.515,0.129,0.111,0.053,0.063,0.038,0.021,0.031,0.009,0.031
Q8R2N2,Cirhin GN=Cirh1a PE=2 SV=3 - [CIR1A_MOUSE],12,18,33.2,0.127,0.011,0.022,0.001,0.016,0.022,0.040,0.212,0.306,0.243
Q922U1,U4/U6 small nuclear ribonucleoprotein Prp3 GN=Prpf3 PE=1 SV=1 - [PRPF3_MOUSE],12,18,23.1,0.340,0.018,0.035,0.011,0.026,0.040,0.048,0.077,0.268,0.139
Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial GN=Aldh6a1 PE=1 SV=1 - [MMSA_MOUSE]",12,18,31.4,0.004,0.012,0.018,0.011,0.041,0.082,0.182,0.342,0.011,0.297
P29758,"Ornithine aminotransferase, mitochondrial GN=Oat PE=1 SV=1 - [OAT_MOUSE]",12,17,28.5,0.000,0.014,0.017,0.016,0.034,0.090,0.223,0.314,0.011,0.283
P70122,Ribosome maturation protein SBDS GN=Sbds PE=1 SV=4 - [SBDS_MOUSE],12,17,52.0,0.202,0.060,0.057,0.033,0.051,0.080,0.091,0.168,0.069,0.188
P70279,Surfeit locus protein 6 GN=Surf6 PE=2 SV=1 - [SURF6_MOUSE],12,17,27.0,0.207,0.011,0.030,0.007,0.018,0.025,0.040,0.129,0.341,0.192
Q6PAC3,DDB1- and CUL4-associated factor 13 GN=Dcaf13 PE=2 SV=2 - [DCA13_MOUSE],12,17,30.3,0.139,0.023,0.031,0.006,0.016,0.028,0.045,0.198,0.310,0.204
Q8BP48,Methionine aminopeptidase 1 GN=Metap1 PE=2 SV=1 - [AMPM1_MOUSE],12,17,46.1,0.173,0.059,0.051,0.016,0.037,0.037,0.055,0.206,0.125,0.241
Q8C570,mRNA export factor GN=Rae1 PE=1 SV=1 - [RAE1L_MOUSE],12,17,49.2,0.101,0.047,0.036,0.013,0.037,0.042,0.062,0.193,0.231,0.239
Q8VCB1,Nucleoporin NDC1 GN=Tmem48 PE=2 SV=1 - [NDC1_MOUSE],12,17,26.0,0.000,0.027,0.045,0.022,0.111,0.132,0.091,0.264,0.060,0.247
Q9CYH6,Ribosome biogenesis regulatory protein homolog GN=Rrs1 PE=2 SV=1 - [RRS1_MOUSE],12,17,30.7,0.223,0.009,0.022,0.005,0.019,0.026,0.040,0.124,0.355,0.176
Q9DC61,Mitochondrial-processing peptidase subunit alpha GN=Pmpca PE=1 SV=1 - [MPPA_MOUSE],12,17,23.9,0.002,0.013,0.016,0.011,0.031,0.081,0.201,0.336,0.018,0.289
Q9JK30,Origin recognition complex subunit 3 GN=Orc3 PE=1 SV=1 - [ORC3_MOUSE],12,17,34.0,0.018,0.000,0.005,0.003,0.006,0.021,0.079,0.337,0.220,0.310
P16330,"2',3'-cyclic-nucleotide 3'-phosphodiesterase GN=Cnp PE=1 SV=3 - [CN37_MOUSE]",12,16,34.0,0.006,0.308,0.216,0.114,0.154,0.085,0.048,0.040,0.006,0.024
P54754,Ephrin type-B receptor 3 GN=Ephb3 PE=1 SV=2 - [EPHB3_MOUSE],12,16,17.5,0.008,0.311,0.195,0.130,0.155,0.103,0.041,0.027,0.003,0.027
Q3UJD6-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 19 GN=Usp19 - [UBP19_MOUSE],12,16,10.5,0.226,0.075,0.083,0.034,0.085,0.094,0.075,0.156,0.032,0.140
Q60770,Syntaxin-binding protein 3 GN=Stxbp3 PE=1 SV=1 - [STXB3_MOUSE],12,16,32.6,0.006,0.254,0.183,0.119,0.168,0.128,0.060,0.042,0.011,0.030
Q61655,ATP-dependent RNA helicase DDX19A GN=Ddx19a PE=2 SV=2 - [DD19A_MOUSE],12,16,30.1,0.244,0.095,0.073,0.041,0.043,0.058,0.062,0.120,0.117,0.147
Q62165,Dystroglycan GN=Dag1 PE=1 SV=4 - [DAG1_MOUSE],12,16,15.8,0.025,0.278,0.162,0.125,0.146,0.111,0.062,0.052,0.010,0.030
Q9JMH6-2,"Isoform 2 of Thioredoxin reductase 1, cytoplasmic GN=Txnrd1 - [TRXR1_MOUSE]",12,16,46.7,0.494,0.140,0.130,0.059,0.089,0.039,0.013,0.020,0.000,0.016
Q32NY4,Metal transporter CNNM3 GN=Cnnm3 PE=1 SV=2 - [CNNM3_MOUSE],12,15,22.0,0.000,0.179,0.136,0.092,0.182,0.160,0.082,0.092,0.007,0.070
Q64127-2,Isoform Short of Transcription intermediary factor 1-alpha GN=Trim24 - [TIF1A_MOUSE],12,15,17.0,0.316,0.013,0.032,0.000,0.013,0.032,0.045,0.122,0.315,0.113
Q6P9J9,Anoctamin-6 GN=Ano6 PE=1 SV=1 - [ANO6_MOUSE],12,15,15.9,0.005,0.242,0.162,0.108,0.190,0.137,0.055,0.058,0.000,0.044
Q8BPU7,Engulfment and cell motility protein 1 GN=Elmo1 PE=1 SV=2 - [ELMO1_MOUSE],12,15,20.4,0.058,0.118,0.067,0.052,0.061,0.063,0.086,0.200,0.096,0.200
Q8BVE3,V-type proton ATPase subunit H GN=Atp6v1h PE=1 SV=1 - [VATH_MOUSE],12,15,35.8,0.203,0.136,0.151,0.105,0.227,0.098,0.032,0.027,0.007,0.014
Q8R3C6,Probable RNA-binding protein 19 GN=Rbm19 PE=1 SV=1 - [RBM19_MOUSE],12,15,24.3,0.225,0.000,0.014,0.007,0.016,0.038,0.036,0.141,0.397,0.127
Q920A7,AFG3-like protein 1 GN=Afg3l1 PE=2 SV=2 - [AFG31_MOUSE],12,15,26.6,0.000,0.011,0.016,0.011,0.039,0.095,0.151,0.321,0.074,0.281
Q99LM2,CDK5 regulatory subunit-associated protein 3 GN=Cdk5rap3 PE=2 SV=1 - [CK5P3_MOUSE],12,15,43.7,0.015,0.067,0.060,0.048,0.154,0.215,0.110,0.157,0.030,0.143
P58802,TBC1 domain family member 10A GN=Tbc1d10a PE=1 SV=1 - [TB10A_MOUSE],12,14,37.6,0.018,0.338,0.207,0.130,0.158,0.084,0.020,0.025,0.009,0.012
Q6NZF1,Zinc finger CCCH domain-containing protein 11A GN=Zc3h11a PE=1 SV=1 - [ZC11A_MOUSE],12,14,23.5,0.118,0.007,0.018,0.000,0.010,0.029,0.097,0.200,0.297,0.223
Q6PGC1,ATP-dependent RNA helicase Dhx29 GN=Dhx29 PE=2 SV=1 - [DHX29_MOUSE],12,14,16.3,0.248,0.084,0.089,0.024,0.049,0.059,0.032,0.069,0.050,0.295
Q6Y7W8,PERQ amino acid-rich with GYF domain-containing protein 2 GN=Gigyf2 PE=1 SV=2 - [PERQ2_MOUSE],12,14,12.5,0.194,0.070,0.093,0.040,0.067,0.078,0.074,0.097,0.073,0.216
Q8BJY1,26S proteasome non-ATPase regulatory subunit 5 GN=Psmd5 PE=1 SV=4 - [PSMD5_MOUSE],12,14,40.9,0.589,0.107,0.103,0.036,0.063,0.025,0.012,0.027,0.012,0.025
Q8BMA6,Signal recognition particle 68 kDa protein GN=Srp68 PE=2 SV=2 - [SRP68_MOUSE],12,14,27.0,0.404,0.045,0.050,0.027,0.051,0.097,0.059,0.104,0.075,0.087
Q8BX17,Gem-associated protein 5 GN=Gemin5 PE=1 SV=2 - [GEMI5_MOUSE],12,14,13.0,0.303,0.071,0.069,0.034,0.054,0.064,0.061,0.093,0.073,0.177
Q8R3N6,THO complex subunit 1 GN=Thoc1 PE=1 SV=1 - [THOC1_MOUSE],12,14,24.8,0.178,0.011,0.021,0.000,0.013,0.021,0.062,0.165,0.350,0.180
Q91YE6,Importin-9 GN=Ipo9 PE=1 SV=3 - [IPO9_MOUSE],12,14,20.9,0.569,0.094,0.093,0.044,0.043,0.040,0.024,0.040,0.017,0.037
Q9ER74,Sal-like protein 1 GN=Sall1 PE=1 SV=1 - [SALL1_MOUSE],12,14,12.7,0.014,0.011,0.008,0.000,0.024,0.030,0.090,0.338,0.197,0.288
Q9QY06-2,Isoform 2 of Unconventional myosin-IXb GN=Myo9b - [MYO9B_MOUSE],12,14,9.1,0.103,0.242,0.149,0.097,0.114,0.084,0.041,0.086,0.004,0.081
P70336,Rho-associated protein kinase 2 GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE],12,13,8.5,0.082,0.207,0.078,0.072,0.104,0.186,0.108,0.070,0.033,0.062
Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2 GN=Hnrnpul2 PE=1 SV=2 - [HNRL2_MOUSE],12,13,27.7,0.260,0.012,0.035,0.000,0.021,0.023,0.022,0.061,0.460,0.105
Q3TWN3,Metal transporter CNNM2 GN=Cnnm2 PE=1 SV=3 - [CNNM2_MOUSE],12,13,21.6,0.000,0.228,0.148,0.103,0.163,0.160,0.083,0.078,0.000,0.038
Q5SXY1-3,Isoform 4 of Cytospin-B GN=Specc1 - [CYTSB_MOUSE],12,13,12.9,0.000,0.254,0.187,0.101,0.113,0.142,0.069,0.072,0.018,0.045
B1AY13,Ubiquitin carboxyl-terminal hydrolase 24 GN=Usp24 PE=1 SV=1 - [UBP24_MOUSE],12,12,9.8,0.142,0.233,0.134,0.073,0.104,0.073,0.053,0.079,0.000,0.110
Q61210-2,Isoform 2 of Rho guanine nucleotide exchange factor 1 GN=Arhgef1 - [ARHG1_MOUSE],12,12,19.6,0.193,0.231,0.138,0.079,0.087,0.054,0.041,0.087,0.013,0.078
Q8BXQ2,GPI transamidase component PIG-T GN=Pigt PE=1 SV=2 - [PIGT_MOUSE],12,12,22.2,0.002,0.071,0.068,0.049,0.132,0.188,0.112,0.186,0.033,0.160
P43276,Histone H1.5 GN=Hist1h1b PE=1 SV=2 - [H15_MOUSE],11,58,37.7,0.025,0.002,0.004,0.002,0.007,0.024,0.128,0.286,0.241,0.281
P62751,60S ribosomal protein L23a GN=Rpl23a PE=1 SV=1 - [RL23A_MOUSE],11,39,52.6,0.164,0.065,0.055,0.031,0.061,0.124,0.094,0.109,0.084,0.213
P97370,Sodium/potassium-transporting ATPase subunit beta-3 GN=Atp1b3 PE=1 SV=1 - [AT1B3_MOUSE],11,36,56.8,0.000,0.288,0.175,0.116,0.155,0.132,0.062,0.045,0.000,0.027
O88811,Signal transducing adapter molecule 2 GN=Stam2 PE=1 SV=1 - [STAM2_MOUSE],11,33,29.8,0.023,0.150,0.160,0.120,0.298,0.142,0.044,0.032,0.008,0.022
P63325,40S ribosomal protein S10 GN=Rps10 PE=1 SV=1 - [RS10_MOUSE],11,33,57.6,0.360,0.050,0.063,0.027,0.051,0.069,0.055,0.077,0.062,0.188
Q8BP67,60S ribosomal protein L24 GN=Rpl24 PE=2 SV=2 - [RL24_MOUSE],11,33,43.3,0.175,0.063,0.067,0.031,0.072,0.134,0.091,0.098,0.075,0.195
P30681,High mobility group protein B2 GN=Hmgb2 PE=1 SV=3 - [HMGB2_MOUSE],11,29,41.9,0.044,0.009,0.010,0.005,0.011,0.038,0.159,0.292,0.138,0.295
P97855,Ras GTPase-activating protein-binding protein 1 GN=G3bp1 PE=1 SV=1 - [G3BP1_MOUSE],11,28,39.6,0.280,0.053,0.060,0.019,0.047,0.055,0.061,0.107,0.073,0.243
Q91VR2,"ATP synthase subunit gamma, mitochondrial GN=Atp5c1 PE=1 SV=1 - [ATPG_MOUSE]",11,26,31.5,0.000,0.020,0.025,0.014,0.033,0.090,0.277,0.238,0.075,0.227
P17439,Glucosylceramidase GN=Gba PE=1 SV=1 - [GLCM_MOUSE],11,25,43.7,0.000,0.079,0.173,0.139,0.292,0.195,0.055,0.041,0.003,0.024
Q922P9,Putative oxidoreductase GLYR1 GN=Glyr1 PE=2 SV=1 - [GLYR1_MOUSE],11,25,33.7,0.026,0.002,0.005,0.002,0.012,0.037,0.137,0.287,0.223,0.268
P14602,Heat shock protein beta-1 GN=Hspb1 PE=1 SV=3 - [HSPB1_MOUSE],11,24,80.4,0.406,0.116,0.102,0.061,0.095,0.056,0.027,0.060,0.009,0.068
P17918,Proliferating cell nuclear antigen GN=Pcna PE=1 SV=2 - [PCNA_MOUSE],11,24,64.4,0.558,0.023,0.057,0.010,0.017,0.014,0.032,0.113,0.082,0.095
P61089,Ubiquitin-conjugating enzyme E2 N GN=Ube2n PE=1 SV=1 - [UBE2N_MOUSE],11,24,88.8,0.378,0.150,0.131,0.068,0.082,0.067,0.026,0.033,0.028,0.037
Q8BH95,"Enoyl-CoA hydratase, mitochondrial GN=Echs1 PE=1 SV=1 - [ECHM_MOUSE]",11,24,52.4,0.000,0.017,0.016,0.015,0.034,0.101,0.244,0.284,0.046,0.243
Q8BP40,Lysophosphatidic acid phosphatase type 6 GN=Acp6 PE=2 SV=1 - [PPA6_MOUSE],11,24,39.0,0.045,0.028,0.029,0.014,0.035,0.094,0.235,0.274,0.011,0.234
Q8VH51-2,Isoform 2 of RNA-binding protein 39 GN=Rbm39 - [RBM39_MOUSE],11,24,25.0,0.257,0.029,0.038,0.009,0.025,0.035,0.052,0.083,0.327,0.145
Q9CQE8,UPF0568 protein C14orf166 homolog PE=2 SV=1 - [CN166_MOUSE],11,24,41.0,0.300,0.052,0.050,0.028,0.057,0.071,0.063,0.094,0.104,0.183
P13595-2;P13595,Isoform 2 of Neural cell adhesion molecule 1 GN=Ncam1 - [NCAM1_MOUSE]|Neural cell adhesion molecule 1 GN=Ncam1 PE=1 SV=3 - [NCAM1_MOUSE],11,23,29.6,0.000,0.274,0.148,0.123,0.198,0.138,0.065,0.031,0.000,0.021
P19253,60S ribosomal protein L13a GN=Rpl13a PE=1 SV=4 - [RL13A_MOUSE],11,23,41.9,0.146,0.069,0.069,0.039,0.086,0.110,0.079,0.124,0.066,0.212
Q8BFP9,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1, mitochondrial GN=Pdk1 PE=2 SV=2 - [PDK1_MOUSE]",11,23,44.9,0.000,0.016,0.018,0.011,0.034,0.088,0.195,0.326,0.031,0.281
Q9QYB1,Chloride intracellular channel protein 4 GN=Clic4 PE=1 SV=3 - [CLIC4_MOUSE],11,23,54.9,0.049,0.347,0.225,0.142,0.135,0.076,0.023,0.003,0.000,0.000
P05480,Neuronal proto-oncogene tyrosine-protein kinase Src GN=Src PE=1 SV=4 - [SRC_MOUSE],11,22,35.1,0.008,0.284,0.205,0.129,0.184,0.090,0.035,0.027,0.018,0.020
P08752,Guanine nucleotide-binding protein G(i) subunit alpha-2 GN=Gnai2 PE=1 SV=5 - [GNAI2_MOUSE],11,22,35.8,0.003,0.310,0.201,0.128,0.163,0.099,0.040,0.027,0.010,0.019
P60843,Eukaryotic initiation factor 4A-I GN=Eif4a1 PE=2 SV=1 - [IF4A1_MOUSE],11,22,40.9,0.492,0.085,0.109,0.049,0.058,0.041,0.024,0.042,0.041,0.060
Q3THS6,S-adenosylmethionine synthase isoform type-2 GN=Mat2a PE=2 SV=2 - [METK2_MOUSE],11,22,37.2,0.617,0.086,0.099,0.039,0.048,0.032,0.015,0.027,0.010,0.027
Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial GN=Pccb PE=1 SV=2 - [PCCB_MOUSE]",11,22,46.6,0.000,0.012,0.009,0.011,0.028,0.106,0.308,0.272,0.014,0.240
P62717,60S ribosomal protein L18a GN=Rpl18a PE=1 SV=1 - [RL18A_MOUSE],11,21,47.7,0.199,0.051,0.062,0.029,0.087,0.106,0.085,0.124,0.063,0.195
P97390,Vacuolar protein sorting-associated protein 45 GN=Vps45 PE=1 SV=1 - [VPS45_MOUSE],11,21,34.7,0.011,0.039,0.094,0.123,0.339,0.262,0.060,0.036,0.010,0.026
Q6NZB0,DnaJ homolog subfamily C member 8 GN=Dnajc8 PE=2 SV=2 - [DNJC8_MOUSE],11,21,45.5,0.225,0.045,0.039,0.018,0.032,0.044,0.085,0.173,0.163,0.176
Q8R2M2,Deoxynucleotidyltransferase terminal-interacting protein 2 GN=Dnttip2 PE=1 SV=1 - [TDIF2_MOUSE],11,21,15.7,0.108,0.004,0.012,0.004,0.010,0.022,0.051,0.240,0.301,0.248
Q8R4N0,"Citrate lyase subunit beta-like protein, mitochondrial GN=Clybl PE=2 SV=2 - [CLYBL_MOUSE]",11,21,37.0,0.000,0.012,0.018,0.013,0.033,0.103,0.269,0.285,0.020,0.247
Q9CRA5,Golgi phosphoprotein 3 GN=Golph3 PE=2 SV=1 - [GOLP3_MOUSE],11,21,53.7,0.005,0.017,0.085,0.076,0.205,0.313,0.109,0.108,0.012,0.070
Q9DCT2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial GN=Ndufs3 PE=1 SV=2 - [NDUS3_MOUSE]",11,21,48.3,0.000,0.012,0.014,0.011,0.034,0.074,0.174,0.329,0.079,0.272
P42125,"Enoyl-CoA delta isomerase 1, mitochondrial GN=Eci1 PE=2 SV=2 - [ECI1_MOUSE]",11,20,49.8,0.001,0.028,0.032,0.015,0.038,0.098,0.227,0.267,0.018,0.277
P58742,Aladin GN=Aaas PE=1 SV=1 - [AAAS_MOUSE],11,20,38.8,0.000,0.025,0.035,0.025,0.126,0.134,0.087,0.267,0.073,0.228
P62334,26S protease regulatory subunit 10B GN=Psmc6 PE=1 SV=1 - [PRS10_MOUSE],11,20,37.3,0.578,0.078,0.089,0.036,0.045,0.043,0.028,0.037,0.024,0.041
P63037,DnaJ homolog subfamily A member 1 GN=Dnaja1 PE=1 SV=1 - [DNJA1_MOUSE],11,20,44.8,0.181,0.082,0.079,0.038,0.070,0.067,0.061,0.187,0.047,0.188
Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial GN=Acat1 PE=1 SV=1 - [THIL_MOUSE]",11,20,35.6,0.000,0.016,0.014,0.008,0.026,0.098,0.320,0.253,0.013,0.252
Q9CZU4,"GTPase Era, mitochondrial GN=Eral1 PE=2 SV=1 - [ERAL1_MOUSE]",11,20,43.2,0.000,0.012,0.013,0.012,0.027,0.107,0.290,0.250,0.063,0.225
Q9DC29,"ATP-binding cassette sub-family B member 6, mitochondrial GN=Abcb6 PE=1 SV=1 - [ABCB6_MOUSE]",11,20,20.9,0.000,0.083,0.177,0.159,0.333,0.145,0.048,0.028,0.005,0.021
