UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8BP92,Reticulocalbin-2 GN=Rcn2 PE=2 SV=1 - [RCN2_MOUSE],10,24,42.2,0.012,0.050,0.088,0.126,0.189,0.265,0.160,0.082,0.010,0.018
Q9DCS9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 GN=Ndufb10 PE=1 SV=3 - [NDUBA_MOUSE],10,24,65.9,0.000,0.007,0.012,0.019,0.028,0.094,0.360,0.253,0.100,0.127
P62889,60S ribosomal protein L30 GN=Rpl30 PE=2 SV=2 - [RL30_MOUSE],10,23,76.5,0.123,0.044,0.065,0.070,0.086,0.120,0.102,0.065,0.068,0.256
Q6P3A8,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial GN=Bckdhb PE=2 SV=2 - [ODBB_MOUSE]",10,23,33.6,0.002,0.015,0.016,0.020,0.032,0.102,0.387,0.258,0.037,0.132
Q99JW5,Epithelial cell adhesion molecule GN=Epcam PE=2 SV=1 - [EPCAM_MOUSE],10,23,46.7,0.000,0.202,0.175,0.165,0.184,0.172,0.076,0.022,0.003,0.002
Q9CYA0,Cysteine-rich with EGF-like domain protein 2 GN=Creld2 PE=2 SV=1 - [CREL2_MOUSE],10,23,29.1,0.020,0.048,0.077,0.115,0.198,0.246,0.197,0.077,0.008,0.015
P54227,Stathmin GN=Stmn1 PE=1 SV=2 - [STMN1_MOUSE],10,22,49.7,0.411,0.130,0.128,0.110,0.117,0.057,0.029,0.008,0.006,0.005
P62717,60S ribosomal protein L18a GN=Rpl18a PE=1 SV=1 - [RL18A_MOUSE],10,22,48.9,0.118,0.040,0.056,0.060,0.081,0.115,0.097,0.054,0.073,0.307
P63037,DnaJ homolog subfamily A member 1 GN=Dnaja1 PE=1 SV=1 - [DNJA1_MOUSE],10,22,37.3,0.139,0.076,0.087,0.081,0.081,0.092,0.087,0.090,0.075,0.191
P47791-2,"Isoform Cytoplasmic of Glutathione reductase, mitochondrial GN=Gsr - [GSHR_MOUSE]",10,21,31.0,0.310,0.078,0.095,0.072,0.075,0.072,0.128,0.088,0.012,0.069
Q6ZWN5,40S ribosomal protein S9 GN=Rps9 PE=2 SV=3 - [RS9_MOUSE],10,21,38.1,0.208,0.049,0.063,0.042,0.056,0.069,0.059,0.039,0.069,0.346
P28656,Nucleosome assembly protein 1-like 1 GN=Nap1l1 PE=1 SV=2 - [NP1L1_MOUSE],10,20,44.5,0.447,0.097,0.125,0.092,0.087,0.065,0.029,0.018,0.019,0.021
P42125,"Enoyl-CoA delta isomerase 1, mitochondrial GN=Eci1 PE=2 SV=2 - [ECI1_MOUSE]",10,20,43.9,0.003,0.012,0.015,0.021,0.030,0.115,0.381,0.261,0.019,0.143
P62334,26S protease regulatory subunit 10B GN=Psmc6 PE=1 SV=1 - [PRS10_MOUSE],10,20,38.8,0.496,0.086,0.093,0.064,0.079,0.051,0.035,0.018,0.025,0.052
Q9CR68,"Cytochrome b-c1 complex subunit Rieske, mitochondrial GN=Uqcrfs1 PE=1 SV=1 - [UCRI_MOUSE]",10,20,55.1,0.000,0.010,0.010,0.013,0.025,0.079,0.359,0.252,0.117,0.136
O08547,Vesicle-trafficking protein SEC22b GN=Sec22b PE=1 SV=3 - [SC22B_MOUSE],10,19,70.7,0.003,0.064,0.089,0.138,0.202,0.218,0.142,0.087,0.033,0.025
P21107-2,Isoform 2 of Tropomyosin alpha-3 chain GN=Tpm3 - [TPM3_MOUSE],10,19,26.6,0.156,0.179,0.164,0.135,0.157,0.116,0.058,0.018,0.011,0.005
P60229,Eukaryotic translation initiation factor 3 subunit E GN=Eif3e PE=1 SV=1 - [EIF3E_MOUSE],10,19,27.4,0.418,0.056,0.073,0.053,0.056,0.050,0.035,0.025,0.041,0.194
Q9QYF1,Retinol dehydrogenase 11 GN=Rdh11 PE=2 SV=2 - [RDH11_MOUSE],10,19,34.2,0.004,0.047,0.085,0.133,0.202,0.271,0.146,0.079,0.011,0.022
O55091,Protein IMPACT GN=Impact PE=1 SV=2 - [IMPCT_MOUSE],10,18,52.8,0.317,0.086,0.106,0.088,0.096,0.077,0.051,0.041,0.023,0.114
P10711,Transcription elongation factor A protein 1 GN=Tcea1 PE=1 SV=2 - [TCEA1_MOUSE],10,18,34.9,0.250,0.049,0.059,0.047,0.056,0.057,0.070,0.094,0.195,0.123
P54775,26S protease regulatory subunit 6B GN=Psmc4 PE=1 SV=2 - [PRS6B_MOUSE],10,18,33.5,0.516,0.075,0.097,0.077,0.068,0.055,0.029,0.019,0.020,0.046
P60335,Poly(rC)-binding protein 1 GN=Pcbp1 PE=1 SV=1 - [PCBP1_MOUSE],10,18,49.7,0.280,0.045,0.056,0.040,0.044,0.037,0.046,0.049,0.251,0.152
Q99KP6,Pre-mRNA-processing factor 19 GN=Prpf19 PE=2 SV=1 - [PRP19_MOUSE],10,18,31.9,0.156,0.014,0.029,0.020,0.027,0.031,0.047,0.056,0.282,0.338
P42208,Septin-2 GN=Sept2 PE=1 SV=2 - [SEPT2_MOUSE],10,17,41.6,0.025,0.103,0.093,0.085,0.102,0.089,0.121,0.074,0.106,0.202
P50518,V-type proton ATPase subunit E 1 GN=Atp6v1e1 PE=1 SV=2 - [VATE1_MOUSE],10,17,44.7,0.117,0.115,0.127,0.153,0.236,0.116,0.060,0.024,0.028,0.024
P52624,Uridine phosphorylase 1 GN=Upp1 PE=1 SV=2 - [UPP1_MOUSE],10,17,51.4,0.523,0.085,0.115,0.081,0.079,0.049,0.030,0.011,0.012,0.014
P97384,Annexin A11 GN=Anxa11 PE=1 SV=2 - [ANX11_MOUSE],10,17,28.6,0.300,0.124,0.119,0.111,0.144,0.073,0.054,0.026,0.017,0.031
Q6PB93,Polypeptide N-acetylgalactosaminyltransferase 2 GN=Galnt2 PE=2 SV=1 - [GALT2_MOUSE],10,17,23.3,0.007,0.038,0.059,0.097,0.194,0.232,0.192,0.099,0.050,0.033
Q80W54,CAAX prenyl protease 1 homolog GN=Zmpste24 PE=1 SV=2 - [FACE1_MOUSE],10,17,26.5,0.003,0.105,0.097,0.144,0.204,0.208,0.135,0.067,0.014,0.023
Q8BVR6,RING finger and SPRY domain-containing protein 1 GN=Rspry1 PE=2 SV=1 - [RSPRY_MOUSE],10,17,23.8,0.001,0.184,0.167,0.182,0.180,0.154,0.080,0.030,0.013,0.008
Q91YU8,Suppressor of SWI4 1 homolog GN=Ppan PE=2 SV=2 - [SSF1_MOUSE],10,17,28.1,0.152,0.020,0.033,0.031,0.041,0.043,0.052,0.038,0.281,0.308
Q921F4,Heterogeneous nuclear ribonucleoprotein L-like GN=Hnrpll PE=1 SV=3 - [HNRLL_MOUSE],10,17,21.7,0.211,0.026,0.045,0.029,0.042,0.051,0.055,0.042,0.253,0.245
Q99N96,"39S ribosomal protein L1, mitochondrial GN=Mrpl1 PE=1 SV=2 - [RM01_MOUSE]",10,17,40.2,0.001,0.013,0.015,0.021,0.029,0.100,0.381,0.242,0.062,0.135
Q9CZU4,"GTPase Era, mitochondrial GN=Eral1 PE=2 SV=1 - [ERAL1_MOUSE]",10,17,30.4,0.002,0.008,0.014,0.017,0.027,0.110,0.326,0.306,0.069,0.121
P17439,Glucosylceramidase GN=Gba PE=1 SV=1 - [GLCM_MOUSE],10,16,26.2,0.004,0.082,0.149,0.217,0.261,0.174,0.074,0.024,0.007,0.008
Q5SWD9,Pre-rRNA-processing protein TSR1 homolog GN=Tsr1 PE=2 SV=1 - [TSR1_MOUSE],10,16,15.3,0.426,0.046,0.073,0.049,0.049,0.047,0.036,0.024,0.075,0.175
Q62446,Peptidyl-prolyl cis-trans isomerase FKBP3 GN=Fkbp3 PE=1 SV=2 - [FKBP3_MOUSE],10,16,36.2,0.108,0.039,0.056,0.049,0.070,0.105,0.105,0.055,0.072,0.340
Q8K0V2,DCN1-like protein 3 GN=Dcun1d3 PE=2 SV=1 - [DCNL3_MOUSE],10,16,44.1,0.002,0.239,0.152,0.160,0.183,0.125,0.085,0.024,0.022,0.007
Q91YD3,mRNA-decapping enzyme 1A GN=Dcp1a PE=1 SV=1 - [DCP1A_MOUSE],10,16,32.7,0.034,0.016,0.023,0.031,0.038,0.092,0.093,0.118,0.059,0.496
Q9CY73,"39S ribosomal protein L44, mitochondrial GN=Mrpl44 PE=1 SV=3 - [RM44_MOUSE]",10,16,45.0,0.001,0.013,0.016,0.023,0.030,0.104,0.352,0.262,0.065,0.134
Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial GN=Uqcrc1 PE=1 SV=2 - [QCR1_MOUSE]",10,16,31.3,0.001,0.008,0.014,0.015,0.028,0.089,0.359,0.258,0.101,0.126
Q9D0I8,mRNA turnover protein 4 homolog GN=Mrto4 PE=2 SV=1 - [MRT4_MOUSE],10,16,38.5,0.144,0.035,0.044,0.048,0.082,0.075,0.059,0.037,0.228,0.248
Q9EQ06,Estradiol 17-beta-dehydrogenase 11 GN=Hsd17b11 PE=2 SV=1 - [DHB11_MOUSE],10,16,35.9,0.005,0.067,0.092,0.124,0.195,0.253,0.137,0.086,0.017,0.025
Q9Z0G0,PDZ domain-containing protein GIPC1 GN=Gipc1 PE=1 SV=1 - [GIPC1_MOUSE],10,16,33.6,0.104,0.194,0.161,0.177,0.167,0.102,0.053,0.017,0.015,0.010
Q9Z1Q5,Chloride intracellular channel protein 1 GN=Clic1 PE=1 SV=3 - [CLIC1_MOUSE],10,16,58.5,0.262,0.151,0.162,0.138,0.129,0.082,0.034,0.014,0.013,0.014
P62071,Ras-related protein R-Ras2 GN=Rras2 PE=1 SV=1 - [RRAS2_MOUSE],10,15,51.5,0.003,0.223,0.154,0.164,0.180,0.156,0.080,0.020,0.015,0.006
P97355,Spermine synthase GN=Sms PE=1 SV=1 - [SPSY_MOUSE],10,15,36.9,0.437,0.105,0.129,0.094,0.096,0.061,0.034,0.010,0.015,0.019
Q64152-2,Isoform 2 of Transcription factor BTF3 GN=Btf3 - [BTF3_MOUSE],10,15,63.0,0.272,0.048,0.071,0.057,0.051,0.053,0.039,0.036,0.046,0.328
Q7TN37,Transient receptor potential cation channel subfamily M member 4 GN=Trpm4 PE=1 SV=1 - [TRPM4_MOUSE],10,15,11.3,0.001,0.170,0.135,0.144,0.178,0.195,0.121,0.032,0.017,0.008
Q8C7K6,Prenylcysteine oxidase-like GN=Pcyox1l PE=2 SV=1 - [PCYXL_MOUSE],10,15,27.3,0.006,0.065,0.093,0.134,0.210,0.208,0.154,0.083,0.015,0.031
Q91VM9,"Inorganic pyrophosphatase 2, mitochondrial GN=Ppa2 PE=2 SV=1 - [IPYR2_MOUSE]",10,15,36.4,0.020,0.010,0.015,0.022,0.029,0.108,0.342,0.311,0.013,0.130
O70293-2,Isoform GRK6B of G protein-coupled receptor kinase 6 GN=Grk6 - [GRK6_MOUSE],10,14,21.4,0.033,0.204,0.153,0.151,0.155,0.106,0.075,0.022,0.057,0.043
O88487,Cytoplasmic dynein 1 intermediate chain 2 GN=Dync1i2 PE=2 SV=1 - [DC1I2_MOUSE],10,14,23.5,0.044,0.061,0.055,0.052,0.067,0.075,0.153,0.198,0.152,0.143
O89079,Coatomer subunit epsilon GN=Cope PE=2 SV=3 - [COPE_MOUSE],10,14,57.1,0.177,0.050,0.085,0.096,0.148,0.157,0.107,0.068,0.034,0.078
Q3V0K9,Plastin-1 GN=Pls1 PE=2 SV=1 - [PLSI_MOUSE],10,14,24.3,0.144,0.166,0.171,0.163,0.144,0.123,0.038,0.019,0.022,0.009
Q61164,Transcriptional repressor CTCF GN=Ctcf PE=1 SV=2 - [CTCF_MOUSE],10,14,19.8,0.033,0.011,0.009,0.012,0.020,0.044,0.115,0.190,0.480,0.086
Q80VQ1,Leucine-rich repeat-containing protein 1 GN=Lrrc1 PE=2 SV=2 - [LRRC1_MOUSE],10,14,32.6,0.000,0.202,0.153,0.163,0.179,0.165,0.100,0.025,0.009,0.006
Q8VCB1,Nucleoporin NDC1 GN=Tmem48 PE=2 SV=1 - [NDC1_MOUSE],10,14,21.0,0.003,0.030,0.063,0.118,0.175,0.202,0.161,0.138,0.082,0.030
Q8VCH6,Delta(24)-sterol reductase GN=Dhcr24 PE=2 SV=1 - [DHC24_MOUSE],10,14,25.8,0.002,0.047,0.090,0.137,0.187,0.267,0.134,0.091,0.025,0.020
Q922P9,Putative oxidoreductase GLYR1 GN=Glyr1 PE=2 SV=1 - [GLYR1_MOUSE],10,14,22.9,0.036,0.009,0.012,0.013,0.025,0.044,0.112,0.158,0.426,0.164
Q9CRD2,ER membrane protein complex subunit 2 GN=Emc2 PE=2 SV=1 - [EMC2_MOUSE],10,14,37.7,0.003,0.056,0.075,0.113,0.169,0.224,0.184,0.090,0.054,0.033
Q9D662,Protein transport protein Sec23B GN=Sec23b PE=2 SV=1 - [SC23B_MOUSE],10,14,16.9,0.094,0.085,0.074,0.088,0.112,0.119,0.101,0.063,0.044,0.220
A2A8Z1,Oxysterol-binding protein-related protein 9 GN=Osbpl9 PE=1 SV=1 - [OSBL9_MOUSE],10,13,17.8,0.094,0.080,0.125,0.193,0.206,0.157,0.069,0.041,0.013,0.023
P26516,26S proteasome non-ATPase regulatory subunit 7 GN=Psmd7 PE=1 SV=2 - [PSD7_MOUSE],10,13,34.9,0.465,0.089,0.102,0.086,0.076,0.058,0.027,0.020,0.027,0.049
P35282,Ras-related protein Rab-21 GN=Rab21 PE=1 SV=4 - [RAB21_MOUSE],10,13,51.8,0.017,0.087,0.095,0.155,0.192,0.224,0.119,0.066,0.022,0.024
P97452,Ribosome biogenesis protein BOP1 GN=Bop1 PE=1 SV=1 - [BOP1_MOUSE],10,13,25.4,0.196,0.015,0.032,0.024,0.035,0.036,0.038,0.031,0.305,0.287
Q2HXL6,ER degradation-enhancing alpha-mannosidase-like protein 3 GN=Edem3 PE=1 SV=2 - [EDEM3_MOUSE],10,13,12.1,0.018,0.053,0.083,0.114,0.170,0.228,0.205,0.084,0.014,0.030
Q5SSI6,U3 small nucleolar RNA-associated protein 18 homolog GN=Utp18 PE=1 SV=1 - [UTP18_MOUSE],10,13,27.5,0.084,0.012,0.025,0.024,0.032,0.043,0.051,0.065,0.373,0.291
Q7TPS5,C2 domain-containing protein 5 GN=C2cd5 PE=1 SV=2 - [C2CD5_MOUSE],10,13,16.1,0.052,0.176,0.164,0.171,0.156,0.144,0.075,0.026,0.016,0.021
Q8BH43,Wiskott-Aldrich syndrome protein family member 2 GN=Wasf2 PE=1 SV=1 - [WASF2_MOUSE],10,13,18.1,0.027,0.250,0.143,0.146,0.170,0.100,0.072,0.021,0.035,0.036
Q8BP48,Methionine aminopeptidase 1 GN=Metap1 PE=2 SV=1 - [AMPM1_MOUSE],10,13,43.5,0.149,0.052,0.063,0.053,0.065,0.059,0.081,0.080,0.110,0.289
Q8BUI3,Leucine-rich repeat and WD repeat-containing protein 1 GN=LRWD1 PE=2 SV=1 - [LRWD1_MOUSE],10,13,26.5,0.045,0.008,0.016,0.015,0.016,0.040,0.105,0.186,0.437,0.132
Q8BYU6,Torsin-1A-interacting protein 2 GN=Tor1aip2 PE=1 SV=1 - [TOIP2_MOUSE],10,13,26.5,0.003,0.099,0.091,0.126,0.214,0.196,0.171,0.066,0.010,0.024
Q8C7V3,U3 small nucleolar RNA-associated protein 15 homolog GN=Utp15 PE=2 SV=1 - [UTP15_MOUSE],10,13,18.2,0.084,0.019,0.025,0.032,0.038,0.041,0.045,0.052,0.350,0.313
Q8CIG8,Protein arginine N-methyltransferase 5 GN=Prmt5 PE=1 SV=3 - [ANM5_MOUSE],10,13,21.8,0.467,0.074,0.114,0.092,0.069,0.072,0.027,0.019,0.023,0.043
Q8K2F0,Bromodomain-containing protein 3 GN=Brd3 PE=1 SV=2 - [BRD3_MOUSE],10,13,19.3,0.024,0.010,0.019,0.015,0.019,0.045,0.114,0.224,0.448,0.083
Q8K4X7,1-acyl-sn-glycerol-3-phosphate acyltransferase delta GN=Agpat4 PE=2 SV=1 - [PLCD_MOUSE],10,13,27.0,0.002,0.067,0.087,0.116,0.211,0.205,0.166,0.090,0.029,0.027
Q8R1M0,UPF0361 protein C3orf37 homolog PE=2 SV=1 - [CC037_MOUSE],10,13,32.6,0.255,0.048,0.068,0.053,0.051,0.069,0.088,0.151,0.100,0.116
Q91VE0,Long-chain fatty acid transport protein 4 GN=Slc27a4 PE=1 SV=1 - [S27A4_MOUSE],10,13,21.0,0.005,0.063,0.090,0.157,0.176,0.235,0.136,0.091,0.024,0.022
Q91YP0,"L-2-hydroxyglutarate dehydrogenase, mitochondrial GN=L2hgdh PE=2 SV=1 - [L2HDH_MOUSE]",10,13,32.8,0.001,0.017,0.015,0.018,0.030,0.080,0.448,0.221,0.018,0.152
Q920A7,AFG3-like protein 1 GN=Afg3l1 PE=2 SV=2 - [AFG31_MOUSE],10,13,21.8,0.002,0.009,0.014,0.023,0.032,0.091,0.383,0.225,0.087,0.135
Q9CXY6,Interleukin enhancer-binding factor 2 GN=Ilf2 PE=1 SV=1 - [ILF2_MOUSE],10,13,44.4,0.155,0.016,0.026,0.017,0.023,0.027,0.037,0.023,0.456,0.219
Q9CYN2,Signal peptidase complex subunit 2 GN=Spcs2 PE=2 SV=1 - [SPCS2_MOUSE],10,13,39.4,0.003,0.049,0.079,0.104,0.166,0.223,0.171,0.107,0.065,0.031
Q9D0G0,"28S ribosomal protein S30, mitochondrial GN=Mrps30 PE=2 SV=1 - [RT30_MOUSE]",10,13,33.9,0.001,0.008,0.012,0.016,0.024,0.096,0.337,0.317,0.061,0.128
Q9D2N4-2,Isoform 2 of Dystrobrevin alpha GN=Dtna - [DTNA_MOUSE],10,13,22.2,0.008,0.217,0.120,0.134,0.159,0.150,0.129,0.033,0.025,0.026
Q9JJ28,Protein flightless-1 homolog GN=Flii PE=1 SV=1 - [FLII_MOUSE],10,13,11.8,0.118,0.074,0.080,0.075,0.078,0.181,0.152,0.087,0.079,0.076
A2ARI4,Leucine-rich repeat-containing G-protein coupled receptor 4 GN=Lgr4 PE=2 SV=1 - [LGR4_MOUSE],10,12,14.7,0.004,0.091,0.112,0.183,0.262,0.195,0.091,0.039,0.013,0.010
A3KGV1-2,Isoform 2 of Outer dense fiber protein 2 GN=Odf2 - [ODFP2_MOUSE],10,12,16.0,0.065,0.027,0.044,0.043,0.046,0.105,0.137,0.169,0.180,0.184
O35598,Disintegrin and metalloproteinase domain-containing protein 10 GN=Adam10 PE=1 SV=2 - [ADA10_MOUSE],10,12,16.4,0.006,0.155,0.135,0.163,0.190,0.166,0.122,0.037,0.015,0.011
P50396,Rab GDP dissociation inhibitor alpha GN=Gdi1 PE=1 SV=3 - [GDIA_MOUSE],10,12,39.8,0.377,0.122,0.130,0.119,0.115,0.072,0.036,0.015,0.009,0.006
P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial GN=Acadvl PE=1 SV=3 - [ACADV_MOUSE]",10,12,19.1,0.007,0.014,0.020,0.025,0.031,0.131,0.327,0.303,0.016,0.126
P51655,Glypican-4 GN=Gpc4 PE=2 SV=2 - [GPC4_MOUSE],10,12,28.0,0.003,0.189,0.166,0.168,0.186,0.152,0.092,0.026,0.009,0.009
P56528,ADP-ribosyl cyclase 1 GN=Cd38 PE=1 SV=2 - [CD38_MOUSE],10,12,50.0,0.006,0.216,0.134,0.169,0.183,0.142,0.100,0.026,0.013,0.011
P58802,TBC1 domain family member 10A GN=Tbc1d10a PE=1 SV=1 - [TB10A_MOUSE],10,12,27.0,0.022,0.236,0.156,0.182,0.185,0.099,0.065,0.018,0.020,0.016
P60762-2,Isoform 2 of Mortality factor 4-like protein 1 GN=Morf4l1 - [MO4L1_MOUSE],10,12,35.6,0.097,0.020,0.030,0.027,0.039,0.061,0.081,0.117,0.369,0.159
P61087,Ubiquitin-conjugating enzyme E2 K GN=Ube2k PE=1 SV=3 - [UBE2K_MOUSE],10,12,70.0,0.490,0.086,0.115,0.085,0.088,0.051,0.036,0.014,0.016,0.019
P97329,Kinesin-like protein KIF20A GN=Kif20a PE=2 SV=1 - [KI20A_MOUSE],10,12,12.5,0.149,0.023,0.037,0.034,0.038,0.063,0.054,0.052,0.354,0.198
Q3TIX9,U4/U6.U5 tri-snRNP-associated protein 2 GN=Usp39 PE=2 SV=2 - [SNUT2_MOUSE],10,12,24.8,0.180,0.012,0.042,0.027,0.033,0.040,0.050,0.066,0.265,0.285
Q60738,Zinc transporter 1 GN=Slc30a1 PE=2 SV=1 - [ZNT1_MOUSE],10,12,23.3,0.006,0.175,0.124,0.137,0.197,0.181,0.130,0.031,0.010,0.009
Q61072,Disintegrin and metalloproteinase domain-containing protein 9 GN=Adam9 PE=1 SV=2 - [ADAM9_MOUSE],10,12,19.9,0.002,0.110,0.137,0.189,0.235,0.205,0.077,0.027,0.014,0.005
Q62036,5-azacytidine-induced protein 1 GN=Azi1 PE=1 SV=2 - [AZI1_MOUSE],10,12,11.5,0.052,0.028,0.045,0.038,0.046,0.097,0.127,0.109,0.149,0.309
Q64518-2,Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 GN=Atp2a3 - [AT2A3_MOUSE],10,12,14.1,0.002,0.067,0.101,0.159,0.198,0.240,0.121,0.088,0.012,0.013
Q689Z5,Protein strawberry notch homolog 1 GN=Sbno1 PE=1 SV=2 - [SBNO1_MOUSE],10,12,10.1,0.302,0.033,0.055,0.040,0.048,0.065,0.081,0.160,0.105,0.112
Q6P4S8,Integrator complex subunit 1 GN=Ints1 PE=1 SV=2 - [INT1_MOUSE],10,12,9.3,0.138,0.016,0.023,0.017,0.021,0.034,0.062,0.080,0.362,0.247
Q80WQ6,Inactive rhomboid protein 2 GN=Rhbdf2 PE=1 SV=1 - [RHDF2_MOUSE],10,12,17.2,0.004,0.151,0.147,0.162,0.170,0.200,0.117,0.035,0.009,0.007
Q8BWR8,Rhophilin-2 GN=Rhpn2 PE=1 SV=2 - [RHPN2_MOUSE],10,12,14.7,0.142,0.172,0.153,0.145,0.138,0.112,0.055,0.030,0.023,0.032
Q8CH18-3,Isoform 3 of Cell division cycle and apoptosis regulator protein 1 GN=Ccar1 - [CCAR1_MOUSE],10,12,11.3,0.142,0.014,0.021,0.015,0.025,0.028,0.037,0.026,0.442,0.250
Q8VC42,Uncharacterized protein C18orf8 homolog GN=Mic1 PE=2 SV=1 - [MIC1_MOUSE],10,12,23.9,0.012,0.072,0.105,0.190,0.301,0.191,0.061,0.030,0.015,0.022
Q922H2,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 3, mitochondrial GN=Pdk3 PE=2 SV=1 - [PDK3_MOUSE]",10,12,24.1,0.001,0.017,0.013,0.016,0.036,0.084,0.429,0.210,0.059,0.135
Q99JW2,Aminoacylase-1 GN=Acy1 PE=1 SV=1 - [ACY1_MOUSE],10,12,30.1,0.455,0.102,0.116,0.086,0.108,0.066,0.031,0.012,0.011,0.011
Q9CXJ1,"Probable glutamate--tRNA ligase, mitochondrial GN=Ears2 PE=2 SV=1 - [SYEM_MOUSE]",10,12,21.8,0.003,0.008,0.018,0.022,0.027,0.118,0.350,0.285,0.031,0.137
Q9D0K2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial GN=Oxct1 PE=1 SV=1 - [SCOT1_MOUSE]",10,12,30.6,0.002,0.011,0.014,0.021,0.029,0.120,0.373,0.282,0.021,0.126
Q9DAW6,U4/U6 small nuclear ribonucleoprotein Prp4 GN=Prpf4 PE=2 SV=1 - [PRP4_MOUSE],10,12,23.4,0.213,0.034,0.046,0.040,0.043,0.053,0.052,0.034,0.229,0.256
Q9DB73,NADH-cytochrome b5 reductase 1 GN=Cyb5r1 PE=2 SV=1 - [NB5R1_MOUSE],10,12,51.5,0.002,0.021,0.024,0.033,0.048,0.116,0.378,0.203,0.060,0.116
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial GN=Acadsb PE=1 SV=1 - [ACDSB_MOUSE]",10,12,33.3,0.002,0.017,0.017,0.023,0.033,0.117,0.338,0.294,0.027,0.131
Q9JKF7,"39S ribosomal protein L39, mitochondrial GN=Mrpl39 PE=2 SV=4 - [RM39_MOUSE]",10,12,37.5,0.003,0.010,0.013,0.022,0.029,0.109,0.343,0.276,0.064,0.131
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial GN=Dhodh PE=2 SV=2 - [PYRD_MOUSE]",10,11,34.9,0.003,0.012,0.016,0.024,0.032,0.095,0.384,0.233,0.061,0.142
P11679,"Keratin, type II cytoskeletal 8 GN=Krt8 PE=1 SV=4 - [K2C8_MOUSE]",10,11,22.0,0.052,0.042,0.050,0.041,0.057,0.067,0.100,0.155,0.247,0.189
P47802,Metaxin-1 GN=Mtx1 PE=1 SV=1 - [MTX1_MOUSE],10,11,24.9,0.010,0.014,0.018,0.018,0.037,0.081,0.396,0.208,0.093,0.125
P54923,[Protein ADP-ribosylarginine] hydrolase GN=Adprh PE=2 SV=1 - [ADPRH_MOUSE],10,11,39.2,0.429,0.063,0.109,0.096,0.100,0.096,0.047,0.026,0.015,0.020
P70290,55 kDa erythrocyte membrane protein GN=Mpp1 PE=1 SV=1 - [EM55_MOUSE],10,11,23.2,0.044,0.208,0.132,0.146,0.167,0.117,0.093,0.027,0.023,0.043
P70677,Caspase-3 GN=Casp3 PE=1 SV=1 - [CASP3_MOUSE],10,11,44.4,0.494,0.095,0.114,0.086,0.089,0.051,0.027,0.015,0.013,0.017
Q3UHD6-2,Isoform 2 of Sorting nexin-27 GN=Snx27 - [SNX27_MOUSE],10,11,22.8,0.043,0.033,0.065,0.140,0.310,0.206,0.092,0.037,0.024,0.050
Q61211,Eukaryotic translation initiation factor 2D GN=Eif2d PE=2 SV=3 - [EIF2D_MOUSE],10,11,24.0,0.210,0.064,0.070,0.068,0.062,0.069,0.053,0.045,0.085,0.274
Q61216,Double-strand break repair protein MRE11A GN=Mre11a PE=2 SV=1 - [MRE11_MOUSE],10,11,19.1,0.091,0.021,0.039,0.031,0.029,0.057,0.090,0.176,0.323,0.143
Q61539,Steroid hormone receptor ERR2 GN=Esrrb PE=1 SV=2 - [ERR2_MOUSE],10,11,30.3,0.031,0.010,0.011,0.014,0.019,0.047,0.115,0.207,0.448,0.098
Q64704-2,Isoform 3B of Syntaxin-3 GN=Stx3 - [STX3_MOUSE],10,11,36.4,0.003,0.127,0.193,0.189,0.225,0.158,0.061,0.027,0.011,0.005
Q6ZPJ0,Testis-expressed sequence 2 protein GN=Tex2 PE=1 SV=2 - [TEX2_MOUSE],10,11,9.8,0.002,0.033,0.084,0.153,0.268,0.231,0.156,0.053,0.007,0.013
Q80TY0-2,Isoform 2 of Formin-binding protein 1 GN=Fnbp1 - [FNBP1_MOUSE],10,11,20.9,0.153,0.121,0.138,0.142,0.119,0.114,0.055,0.072,0.026,0.060
Q8VC30,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing) GN=Dak PE=2 SV=1 - [DHAK_MOUSE],10,11,20.9,0.464,0.084,0.120,0.102,0.083,0.059,0.036,0.015,0.017,0.020
Q8VDC1,FYVE and coiled-coil domain-containing protein 1 GN=Fyco1 PE=1 SV=1 - [FYCO1_MOUSE],10,11,8.8,0.003,0.148,0.187,0.247,0.225,0.124,0.038,0.020,0.002,0.005
Q924C1,Exportin-5 GN=Xpo5 PE=2 SV=1 - [XPO5_MOUSE],10,11,12.4,0.587,0.040,0.074,0.039,0.049,0.040,0.031,0.021,0.052,0.066
Q9CZS1,"Aldehyde dehydrogenase X, mitochondrial GN=Aldh1b1 PE=2 SV=1 - [AL1B1_MOUSE]",10,11,22.9,0.005,0.013,0.014,0.022,0.031,0.094,0.357,0.304,0.018,0.142
