UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q6PNC0,DmX-like protein 1 OS=Mus musculus GN=Dmxl1 PE=1 SV=1 [DMXL1_MOUSE],10,10,4.5,0.275,0.000,0.014,0.000,0.039,0.068,0.077,0.089,0.439,0.000
Q6ZQK5,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus GN=Acap2 PE=1 SV=2 [ACAP2_MOUSE]",10,10,16.1,0.231,0.000,0.015,0.000,0.017,0.084,0.121,0.237,0.282,0.013
Q78IK4,MICOS complex subunit Mic27 OS=Mus musculus GN=Apool PE=2 SV=1 [MIC27_MOUSE],10,10,59.2,0.002,0.000,0.001,0.004,0.041,0.174,0.414,0.194,0.160,0.009
Q78PG9,Coiled-coil domain-containing protein 25 OS=Mus musculus GN=Ccdc25 PE=1 SV=1 [CCD25_MOUSE],10,10,44.7,0.456,0.003,0.031,0.001,0.011,0.039,0.058,0.119,0.274,0.008
Q7TT18,Activating transcription factor 7-interacting protein 1 OS=Mus musculus GN=Atf7ip PE=1 SV=1 [MCAF1_MOUSE],10,10,12.9,0.155,0.003,0.014,0.000,0.020,0.049,0.075,0.267,0.391,0.027
Q80SY5,Pre-mRNA-splicing factor 38B OS=Mus musculus GN=Prpf38b PE=1 SV=1 [PR38B_MOUSE],10,10,20.7,0.210,0.000,0.012,0.000,0.017,0.051,0.062,0.064,0.583,0.001
Q80UW5,Serine/threonine-protein kinase MRCK gamma OS=Mus musculus GN=Cdc42bpg PE=2 SV=2 [MRCKG_MOUSE],10,10,8.1,0.291,0.000,0.020,0.000,0.055,0.103,0.093,0.115,0.316,0.006
Q80V86,Integrator complex subunit 8 OS=Mus musculus GN=Ints8 PE=2 SV=1 [INT8_MOUSE],10,10,15.3,0.183,0.000,0.008,0.000,0.012,0.043,0.084,0.148,0.520,0.002
Q80X73,Protein pelota homolog OS=Mus musculus GN=Pelo PE=2 SV=3 [PELO_MOUSE],10,10,35.8,0.253,0.000,0.017,0.000,0.031,0.066,0.092,0.158,0.372,0.011
Q80Y17,Lethal(2) giant larvae protein homolog 1 OS=Mus musculus GN=Llgl1 PE=1 SV=1 [L2GL1_MOUSE],10,10,16.1,0.205,0.046,0.037,0.037,0.180,0.187,0.128,0.083,0.096,0.001
Q80YQ2,Mediator of RNA polymerase II transcription subunit 23 OS=Mus musculus GN=Med23 PE=1 SV=2 [MED23_MOUSE],10,10,12.4,0.180,0.000,0.009,0.000,0.010,0.032,0.064,0.070,0.636,0.000
Q8BGD5,"Carnitine O-palmitoyltransferase 1, brain isoform OS=Mus musculus GN=Cpt1c PE=1 SV=1 [CPT1C_MOUSE]",10,10,16.0,0.022,0.002,0.000,0.004,0.090,0.307,0.305,0.162,0.100,0.006
Q8BGF3,WD repeat-containing protein 92 OS=Mus musculus GN=Wdr92 PE=2 SV=1 [WDR92_MOUSE],10,10,35.0,0.288,0.000,0.012,0.000,0.020,0.039,0.054,0.097,0.486,0.004
Q8BH57,WD repeat-containing protein 48 OS=Mus musculus GN=Wdr48 PE=1 SV=1 [WDR48_MOUSE],10,10,23.0,0.303,0.000,0.019,0.000,0.071,0.124,0.111,0.149,0.216,0.007
Q8BHL3,TBC1 domain family member 10B OS=Mus musculus GN=Tbc1d10b PE=1 SV=2 [TB10B_MOUSE],10,10,20.8,0.105,0.021,0.029,0.027,0.106,0.189,0.141,0.189,0.169,0.023
Q8BHL5-2,Isoform 2 of Engulfment and cell motility protein 2 OS=Mus musculus GN=Elmo2 [ELMO2_MOUSE],10,10,17.8,0.210,0.000,0.010,0.000,0.053,0.097,0.103,0.196,0.325,0.006
Q8BHR2,Ecto-NOX disulfide-thiol exchanger 1 OS=Mus musculus GN=Enox1 PE=2 SV=1 [ENOX1_MOUSE],10,10,13.7,0.204,0.000,0.013,0.000,0.007,0.030,0.060,0.072,0.607,0.008
Q8BIW9,Chromosome transmission fidelity protein 18 homolog OS=Mus musculus GN=Chtf18 PE=2 SV=2 [CTF18_MOUSE],10,10,12.2,0.292,0.000,0.014,0.000,0.009,0.036,0.068,0.112,0.458,0.010
Q8BLF1,Neutral cholesterol ester hydrolase 1 OS=Mus musculus GN=Nceh1 PE=1 SV=1 [NCEH1_MOUSE],10,10,33.1,0.005,0.000,0.000,0.005,0.047,0.299,0.364,0.178,0.098,0.005
Q8BT60,Copine-3 OS=Mus musculus GN=Cpne3 PE=2 SV=2 [CPNE3_MOUSE],10,10,25.7,0.706,0.003,0.042,0.003,0.042,0.079,0.046,0.040,0.037,0.002
Q8BTS4,Nuclear pore complex protein Nup54 OS=Mus musculus GN=Nup54 PE=1 SV=1 [NUP54_MOUSE],10,10,23.3,0.208,0.000,0.014,0.003,0.046,0.125,0.146,0.165,0.281,0.011
Q8BU11,TOX high mobility group box family member 4 OS=Mus musculus GN=Tox4 PE=1 SV=3 [TOX4_MOUSE],10,10,21.5,0.222,0.001,0.017,0.000,0.012,0.040,0.071,0.128,0.472,0.037
Q8BU88,"39S ribosomal protein L22, mitochondrial OS=Mus musculus GN=Mrpl22 PE=2 SV=1 [RM22_MOUSE]",10,10,45.1,0.008,0.000,0.000,0.000,0.035,0.163,0.423,0.213,0.149,0.009
Q8BW10,RNA-binding protein NOB1 OS=Mus musculus GN=Nob1 PE=1 SV=1 [NOB1_MOUSE],10,10,26.8,0.412,0.004,0.031,0.003,0.033,0.058,0.071,0.081,0.298,0.008
Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh5a1 PE=1 SV=1 [SSDH_MOUSE]",10,10,26.4,0.009,0.001,0.001,0.004,0.064,0.167,0.424,0.196,0.125,0.009
Q8BXZ1,Protein disulfide-isomerase TMX3 OS=Mus musculus GN=Tmx3 PE=1 SV=2 [TMX3_MOUSE],10,10,26.5,0.006,0.000,0.004,0.004,0.036,0.303,0.369,0.188,0.087,0.004
Q8BYH8-2,Isoform 2 of Chromodomain-helicase-DNA-binding protein 9 OS=Mus musculus GN=Chd9 [CHD9_MOUSE],10,10,4.8,0.124,0.000,0.010,0.000,0.033,0.078,0.131,0.323,0.281,0.020
Q8C167-2,Isoform 2 of Prolyl endopeptidase-like OS=Mus musculus GN=Prepl [PPCEL_MOUSE],10,10,31.5,0.104,0.000,0.005,0.000,0.036,0.142,0.368,0.196,0.144,0.006
Q8C4Y3,Negative elongation factor B OS=Mus musculus GN=Nelfb PE=1 SV=2 [NELFB_MOUSE],10,10,16.0,0.454,0.000,0.029,0.000,0.014,0.036,0.045,0.093,0.325,0.005
Q8C547,HEAT repeat-containing protein 5B OS=Mus musculus GN=Heatr5b PE=2 SV=3 [HTR5B_MOUSE],10,10,6.0,0.213,0.000,0.008,0.000,0.038,0.155,0.115,0.099,0.364,0.008
Q8C804,Spindle and centriole-associated protein 1 OS=Mus musculus GN=Spice1 PE=1 SV=2 [SPICE_MOUSE],10,10,23.5,0.149,0.000,0.006,0.000,0.012,0.073,0.126,0.221,0.400,0.014
Q8CB77,Transcription elongation factor B polypeptide 3 OS=Mus musculus GN=Tceb3 PE=1 SV=3 [ELOA1_MOUSE],10,10,15.1,0.301,0.000,0.016,0.000,0.012,0.054,0.078,0.183,0.341,0.014
Q8CBE3,WD repeat-containing protein 37 OS=Mus musculus GN=Wdr37 PE=2 SV=1 [WDR37_MOUSE],10,10,20.8,0.153,0.001,0.015,0.001,0.047,0.087,0.127,0.266,0.289,0.013
Q8CBY3,Leukocyte receptor cluster member 8 homolog OS=Mus musculus GN=Leng8 PE=1 SV=1 [LENG8_MOUSE],10,10,16.1,0.241,0.000,0.016,0.000,0.018,0.052,0.074,0.085,0.497,0.018
Q8CEE0-2,Isoform 2 of Centrosomal protein of 57 kDa OS=Mus musculus GN=Cep57 [CEP57_MOUSE],10,10,25.4,0.050,0.000,0.000,0.000,0.016,0.120,0.181,0.334,0.281,0.018
Q8CFX1,GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus GN=H6pd PE=1 SV=2 [G6PE_MOUSE],10,10,15.1,0.057,0.000,0.005,0.000,0.031,0.331,0.300,0.150,0.123,0.003
Q8CGC4,Protein LSM14 homolog B OS=Mus musculus GN=Lsm14b PE=2 SV=3 [LS14B_MOUSE],10,10,33.5,0.316,0.000,0.018,0.000,0.020,0.056,0.071,0.102,0.408,0.008
Q8CI08,SLAIN motif-containing protein 2 OS=Mus musculus GN=Slain2 PE=1 SV=2 [SLAI2_MOUSE],10,10,34.4,0.101,0.007,0.015,0.010,0.056,0.078,0.109,0.317,0.244,0.064
Q8JZY4,Mitochondrial ribonuclease P protein 3 OS=Mus musculus GN=Kiaa0391 PE=2 SV=1 [MRRP3_MOUSE],10,10,22.1,0.026,0.000,0.000,0.000,0.052,0.143,0.407,0.208,0.151,0.012
Q8K013,GTP-binding protein 10 OS=Mus musculus GN=Gtpbp10 PE=2 SV=1 [GTPBA_MOUSE],10,10,44.3,0.017,0.002,0.002,0.003,0.052,0.161,0.388,0.217,0.145,0.012
Q8K268,ATP-binding cassette sub-family F member 3 OS=Mus musculus GN=Abcf3 PE=1 SV=1 [ABCF3_MOUSE],10,10,17.9,0.312,0.000,0.015,0.000,0.029,0.069,0.078,0.120,0.368,0.008
Q8R035,"Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Mus musculus GN=Ict1 PE=1 SV=1 [ICT1_MOUSE]",10,10,49.0,0.015,0.000,0.002,0.003,0.064,0.157,0.401,0.211,0.139,0.007
Q8R146-2,Isoform 2 of Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh [APEH_MOUSE],10,10,18.5,0.779,0.001,0.045,0.001,0.037,0.050,0.034,0.024,0.029,0.000
Q8R1N0,Zinc finger protein 830 OS=Mus musculus GN=Znf830 PE=1 SV=1 [ZN830_MOUSE],10,10,43.5,0.235,0.000,0.016,0.000,0.008,0.026,0.047,0.075,0.565,0.027
Q8R3F5,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Mus musculus GN=Mcat PE=1 SV=3 [FABD_MOUSE]",10,10,33.3,0.011,0.000,0.001,0.003,0.036,0.160,0.413,0.215,0.154,0.008
Q8R3J4,"Transcription termination factor 3, mitochondrial OS=Mus musculus GN=Mterf3 PE=2 SV=1 [MTEF3_MOUSE]",10,10,29.9,0.012,0.000,0.000,0.001,0.027,0.163,0.421,0.221,0.147,0.009
Q8VBT0,Thioredoxin-related transmembrane protein 1 OS=Mus musculus GN=Tmx1 PE=1 SV=1 [TMX1_MOUSE],10,10,26.3,0.012,0.003,0.005,0.009,0.106,0.349,0.281,0.148,0.081,0.005
Q8VCN9,Tubulin-specific chaperone C OS=Mus musculus GN=Tbcc PE=2 SV=1 [TBCC_MOUSE],10,10,35.8,0.693,0.006,0.054,0.002,0.044,0.041,0.046,0.056,0.052,0.006
Q8VDG5,Phosphopantothenate--cysteine ligase OS=Mus musculus GN=Ppcs PE=2 SV=1 [PPCS_MOUSE],10,10,32.5,0.804,0.000,0.049,0.000,0.007,0.029,0.021,0.042,0.048,0.000
Q8VDL4-3,Isoform 3 of ADP-dependent glucokinase OS=Mus musculus GN=Adpgk [ADPGK_MOUSE],10,10,29.9,0.013,0.000,0.006,0.007,0.108,0.323,0.301,0.150,0.085,0.006
Q8VDW0,ATP-dependent RNA helicase DDX39A OS=Mus musculus GN=Ddx39a PE=2 SV=1 [DX39A_MOUSE],10,10,29.5,0.411,0.000,0.028,0.000,0.008,0.016,0.037,0.083,0.412,0.005
Q8VEH8,Endoplasmic reticulum lectin 1 OS=Mus musculus GN=Erlec1 PE=2 SV=1 [ERLEC_MOUSE],10,10,31.3,0.004,0.001,0.005,0.011,0.093,0.324,0.314,0.152,0.091,0.007
Q91W86,Vacuolar protein sorting-associated protein 11 homolog OS=Mus musculus GN=Vps11 PE=1 SV=3 [VPS11_MOUSE],10,10,12.9,0.115,0.003,0.015,0.002,0.073,0.116,0.109,0.102,0.462,0.002
Q91WM2,Cat eye syndrome critical region protein 5 homolog OS=Mus musculus GN=Cecr5 PE=2 SV=1 [CECR5_MOUSE],10,10,41.1,0.013,0.000,0.000,0.005,0.063,0.172,0.408,0.195,0.134,0.011
Q91XA2,Golgi membrane protein 1 OS=Mus musculus GN=Golm1 PE=1 SV=2 [GOLM1_MOUSE],10,10,23.9,0.012,0.000,0.007,0.021,0.160,0.343,0.238,0.134,0.071,0.015
Q91YP3,Putative deoxyribose-phosphate aldolase OS=Mus musculus GN=Dera PE=2 SV=1 [DEOC_MOUSE],10,10,44.7,0.437,0.000,0.027,0.000,0.018,0.065,0.068,0.079,0.304,0.002
Q91Z49,UAP56-interacting factor OS=Mus musculus GN=Fyttd1 PE=1 SV=1 [UIF_MOUSE],10,10,40.4,0.066,0.000,0.004,0.000,0.008,0.017,0.032,0.061,0.792,0.019
Q922H1-2,Isoform 2 of Protein arginine N-methyltransferase 3 OS=Mus musculus GN=Prmt3 [ANM3_MOUSE],10,10,24.6,0.671,0.002,0.039,0.000,0.021,0.042,0.048,0.082,0.093,0.003
Q923Z3,"Protein MTO1 homolog, mitochondrial OS=Mus musculus GN=Mto1 PE=2 SV=1 [MTO1_MOUSE]",10,10,23.0,0.025,0.000,0.000,0.000,0.050,0.141,0.396,0.222,0.161,0.005
Q99J72,DNA dC->dU-editing enzyme APOBEC-3 OS=Mus musculus GN=Apobec3 PE=1 SV=2 [ABEC3_MOUSE],10,10,24.2,0.339,0.000,0.021,0.000,0.004,0.046,0.071,0.122,0.393,0.003
Q99KR3,Beta-lactamase-like protein 2 OS=Mus musculus GN=Lactb2 PE=1 SV=1 [LACB2_MOUSE],10,10,41.3,0.637,0.002,0.038,0.000,0.030,0.049,0.103,0.084,0.053,0.003
Q99LB0,Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus GN=Dnttip1 PE=2 SV=1 [TDIF1_MOUSE],10,10,37.5,0.106,0.000,0.008,0.000,0.030,0.074,0.126,0.350,0.289,0.017
Q99LC8,Translation initiation factor eIF-2B subunit alpha OS=Mus musculus GN=Eif2b1 PE=2 SV=1 [EI2BA_MOUSE],10,10,41.6,0.520,0.000,0.039,0.000,0.032,0.046,0.059,0.097,0.202,0.005
Q99MR1,PERQ amino acid-rich with GYF domain-containing protein 1 OS=Mus musculus GN=Gigyf1 PE=1 SV=2 [PERQ1_MOUSE],10,10,10.6,0.243,0.015,0.016,0.011,0.060,0.069,0.074,0.074,0.418,0.019
Q9CPR8,Melanoma-associated antigen G1 OS=Mus musculus GN=Ndnl2 PE=1 SV=1 [MAGG1_MOUSE],10,10,55.6,0.143,0.000,0.012,0.000,0.025,0.052,0.095,0.202,0.458,0.013
Q9CR62,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3 [M2OM_MOUSE],10,10,43.9,0.011,0.000,0.001,0.002,0.036,0.170,0.398,0.202,0.173,0.007
Q9CWP6,Motile sperm domain-containing protein 2 OS=Mus musculus GN=Mospd2 PE=1 SV=2 [MSPD2_MOUSE],10,10,19.9,0.045,0.000,0.000,0.005,0.039,0.362,0.298,0.148,0.098,0.005
Q9CXS4,Centromere protein V OS=Mus musculus GN=Cenpv PE=2 SV=2 [CENPV_MOUSE],10,10,57.5,0.112,0.000,0.005,0.000,0.028,0.071,0.136,0.290,0.340,0.017
Q9CYD3,Cartilage-associated protein OS=Mus musculus GN=Crtap PE=2 SV=3 [CRTAP_MOUSE],10,10,25.5,0.030,0.001,0.002,0.008,0.080,0.343,0.303,0.141,0.082,0.010
Q9D0C4,tRNA (guanine(37)-N1)-methyltransferase OS=Mus musculus GN=Trmt5 PE=2 SV=1 [TRM5_MOUSE],10,10,25.0,0.652,0.000,0.043,0.000,0.019,0.047,0.099,0.065,0.069,0.007
Q9D0M0,Exosome complex exonuclease RRP42 OS=Mus musculus GN=Exosc7 PE=2 SV=2 [EXOS7_MOUSE],10,10,49.5,0.239,0.000,0.013,0.000,0.007,0.029,0.058,0.104,0.539,0.009
Q9D0P7,Proline/serine-rich coiled-coil protein 1 OS=Mus musculus GN=Psrc1 PE=1 SV=2 [PSRC1_MOUSE],10,10,37.7,0.147,0.002,0.022,0.004,0.035,0.091,0.113,0.203,0.360,0.022
Q9D2N9,Vacuolar protein sorting-associated protein 33A OS=Mus musculus GN=Vps33a PE=1 SV=2 [VP33A_MOUSE],10,10,21.4,0.116,0.000,0.011,0.000,0.067,0.143,0.125,0.100,0.435,0.003
Q9D964,"Glycine amidinotransferase, mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1 [GATM_MOUSE]",10,10,40.4,0.020,0.002,0.001,0.000,0.064,0.172,0.412,0.190,0.132,0.007
Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Mus musculus GN=Alg2 PE=2 SV=2 [ALG2_MOUSE]",10,10,33.0,0.014,0.000,0.000,0.005,0.081,0.301,0.328,0.157,0.108,0.007
Q9JHI7,Exosome complex component RRP45 OS=Mus musculus GN=Exosc9 PE=2 SV=1 [EXOS9_MOUSE],10,10,32.2,0.222,0.000,0.013,0.000,0.010,0.027,0.056,0.110,0.552,0.010
Q9QYL7,Activator of basal transcription 1 OS=Mus musculus GN=Abt1 PE=2 SV=1 [ABT1_MOUSE],10,10,36.1,0.154,0.000,0.010,0.000,0.014,0.030,0.048,0.172,0.556,0.015
Q9QYY8,Spastin OS=Mus musculus GN=Spast PE=1 SV=3 [SPAST_MOUSE],10,10,21.7,0.148,0.000,0.011,0.004,0.058,0.125,0.147,0.191,0.307,0.010
Q9QZB7,Actin-related protein 10 OS=Mus musculus GN=Actr10 PE=1 SV=2 [ARP10_MOUSE],10,10,39.6,0.228,0.000,0.014,0.000,0.019,0.090,0.104,0.129,0.416,0.000
Q9QZS3-4,Isoform 4 of Protein numb homolog OS=Mus musculus GN=Numb [NUMB_MOUSE],10,10,31.5,0.071,0.012,0.019,0.020,0.169,0.224,0.147,0.103,0.219,0.015
Q9WUU7,Cathepsin Z OS=Mus musculus GN=Ctsz PE=2 SV=1 [CATZ_MOUSE],10,10,35.0,0.026,0.016,0.017,0.032,0.224,0.364,0.182,0.096,0.041,0.001
Q9WV69,Dematin OS=Mus musculus GN=Dmtn PE=1 SV=1 [DEMA_MOUSE],10,10,27.7,0.290,0.026,0.037,0.023,0.080,0.102,0.093,0.153,0.174,0.021
Q9WV92-3,Isoform 3 of Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 [E41L3_MOUSE],10,10,23.6,0.174,0.023,0.032,0.027,0.091,0.219,0.191,0.126,0.111,0.006
Q9Z0H3-2,Isoform B of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Mus musculus GN=Smarcb1 [SNF5_MOUSE],10,10,30.3,0.153,0.000,0.011,0.000,0.018,0.056,0.105,0.310,0.334,0.014
Q9Z1Y4,Thyroid receptor-interacting protein 6 OS=Mus musculus GN=Trip6 PE=1 SV=1 [TRIP6_MOUSE],10,10,33.5,0.135,0.013,0.011,0.006,0.076,0.094,0.109,0.125,0.425,0.006
Q9Z265,Serine/threonine-protein kinase Chk2 OS=Mus musculus GN=Chek2 PE=1 SV=1 [CHK2_MOUSE],10,10,20.9,0.366,0.000,0.025,0.000,0.022,0.043,0.060,0.182,0.296,0.007
Q9Z2G6-2,Isoform 2 of Protein sel-1 homolog 1 OS=Mus musculus GN=Sel1l [SE1L1_MOUSE],10,10,26.8,0.008,0.004,0.003,0.011,0.143,0.331,0.277,0.132,0.087,0.005
P62900,60S ribosomal protein L31 OS=Mus musculus GN=Rpl31 PE=1 SV=1 [RL31_MOUSE],9,22,53.6,0.206,0.000,0.013,0.000,0.037,0.082,0.106,0.077,0.474,0.004
P62918,60S ribosomal protein L8 OS=Mus musculus GN=Rpl8 PE=2 SV=2 [RL8_MOUSE],9,19,35.0,0.170,0.004,0.013,0.004,0.049,0.087,0.106,0.070,0.486,0.011
P61255,60S ribosomal protein L26 OS=Mus musculus GN=Rpl26 PE=1 SV=1 [RL26_MOUSE],9,18,40.7,0.185,0.000,0.011,0.001,0.028,0.095,0.103,0.072,0.497,0.008
P70296,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3 [PEBP1_MOUSE],9,17,72.2,0.843,0.001,0.061,0.000,0.026,0.032,0.018,0.012,0.007,0.000
P48962,ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4 [ADT1_MOUSE],9,16,26.2,0.003,0.000,0.000,0.002,0.023,0.162,0.444,0.209,0.148,0.009
O08583,THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3 [THOC4_MOUSE],9,15,38.4,0.128,0.000,0.011,0.000,0.017,0.029,0.061,0.106,0.600,0.047
P62821,Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3 [RAB1A_MOUSE],9,15,41.0,0.125,0.003,0.013,0.008,0.092,0.285,0.252,0.147,0.070,0.005
P43275,Histone H1.1 OS=Mus musculus GN=Hist1h1a PE=1 SV=2 [H11_MOUSE],9,13,31.5,0.089,0.000,0.006,0.002,0.022,0.085,0.152,0.402,0.217,0.025
P62267,40S ribosomal protein S23 OS=Mus musculus GN=Rps23 PE=1 SV=3 [RS23_MOUSE],9,13,53.8,0.325,0.000,0.021,0.000,0.034,0.055,0.068,0.059,0.436,0.004
Q791V5,Mitochondrial carrier homolog 2 OS=Mus musculus GN=Mtch2 PE=1 SV=1 [MTCH2_MOUSE],9,13,40.6,0.015,0.000,0.000,0.000,0.058,0.154,0.405,0.195,0.164,0.008
Q9D1J3,SAP domain-containing ribonucleoprotein OS=Mus musculus GN=Sarnp PE=1 SV=3 [SARNP_MOUSE],9,13,43.8,0.135,0.000,0.009,0.001,0.020,0.054,0.112,0.247,0.371,0.051
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1 [AN32A_MOUSE],9,12,27.5,0.859,0.002,0.061,0.000,0.009,0.016,0.014,0.018,0.020,0.000
O70152,Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus GN=Dpm1 PE=2 SV=1 [DPM1_MOUSE],9,12,60.0,0.014,0.000,0.001,0.005,0.082,0.313,0.320,0.165,0.098,0.003
P30681,High mobility group protein B2 OS=Mus musculus GN=Hmgb2 PE=1 SV=3 [HMGB2_MOUSE],9,12,26.7,0.085,0.000,0.007,0.001,0.026,0.097,0.171,0.373,0.223,0.017
P49722,Proteasome subunit alpha type-2 OS=Mus musculus GN=Psma2 PE=1 SV=3 [PSA2_MOUSE],9,12,50.4,0.736,0.001,0.049,0.000,0.018,0.027,0.024,0.024,0.121,0.001
P67871,Casein kinase II subunit beta OS=Mus musculus GN=Csnk2b PE=1 SV=1 [CSK2B_MOUSE],9,12,49.3,0.479,0.000,0.031,0.000,0.030,0.041,0.055,0.155,0.205,0.004
Q62348,Translin OS=Mus musculus GN=Tsn PE=1 SV=1 [TSN_MOUSE],9,12,31.6,0.775,0.000,0.059,0.000,0.015,0.039,0.030,0.029,0.052,0.000
Q8CCK0,Core histone macro-H2A.2 OS=Mus musculus GN=H2afy2 PE=1 SV=3 [H2AW_MOUSE],9,12,30.4,0.088,0.000,0.006,0.002,0.034,0.082,0.140,0.396,0.213,0.040
Q8R409,Protein HEXIM1 OS=Mus musculus GN=Hexim1 PE=1 SV=1 [HEXI1_MOUSE],9,12,34.3,0.396,0.000,0.025,0.000,0.008,0.030,0.042,0.049,0.444,0.006
Q9CQF3,Cleavage and polyadenylation specificity factor subunit 5 OS=Mus musculus GN=Nudt21 PE=1 SV=1 [CPSF5_MOUSE],9,12,33.9,0.352,0.000,0.025,0.000,0.004,0.037,0.042,0.049,0.490,0.002
Q9CR98,Protein FAM136A OS=Mus musculus GN=Fam136a PE=2 SV=1 [F136A_MOUSE],9,12,71.7,0.013,0.003,0.006,0.008,0.078,0.147,0.398,0.183,0.142,0.020
Q9D1G1,Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1 [RAB1B_MOUSE],9,12,42.8,0.141,0.002,0.014,0.009,0.081,0.279,0.264,0.133,0.071,0.006
O35621,Phosphomannomutase 1 OS=Mus musculus GN=Pmm1 PE=1 SV=1 [PMM1_MOUSE],9,11,43.9,0.772,0.009,0.054,0.006,0.029,0.033,0.028,0.038,0.031,0.000
O70591,Prefoldin subunit 2 OS=Mus musculus GN=Pfdn2 PE=2 SV=2 [PFD2_MOUSE],9,11,53.2,0.705,0.006,0.047,0.007,0.028,0.035,0.028,0.032,0.112,0.000
P18155,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial OS=Mus musculus GN=Mthfd2 PE=1 SV=1 [MTDC_MOUSE]",9,11,46.9,0.005,0.001,0.003,0.005,0.062,0.178,0.421,0.195,0.122,0.009
P26369,Splicing factor U2AF 65 kDa subunit OS=Mus musculus GN=U2af2 PE=1 SV=3 [U2AF2_MOUSE],9,11,26.1,0.368,0.000,0.025,0.000,0.013,0.036,0.053,0.075,0.423,0.006
P54728,UV excision repair protein RAD23 homolog B OS=Mus musculus GN=Rad23b PE=1 SV=2 [RD23B_MOUSE],9,11,29.3,0.849,0.000,0.055,0.000,0.000,0.029,0.022,0.028,0.018,0.000
P61087,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus GN=Ube2k PE=1 SV=3 [UBE2K_MOUSE],9,11,51.0,0.856,0.001,0.049,0.000,0.016,0.025,0.019,0.017,0.017,0.000
P97371,Proteasome activator complex subunit 1 OS=Mus musculus GN=Psme1 PE=2 SV=2 [PSME1_MOUSE],9,11,47.0,0.822,0.000,0.055,0.000,0.014,0.032,0.022,0.022,0.033,0.000
Q61263,Sterol O-acyltransferase 1 OS=Mus musculus GN=Soat1 PE=2 SV=2 [SOAT1_MOUSE],9,11,21.9,0.007,0.000,0.000,0.006,0.036,0.293,0.353,0.178,0.118,0.009
Q62158,Zinc finger protein RFP OS=Mus musculus GN=Trim27 PE=1 SV=2 [TRI27_MOUSE],9,11,27.1,0.105,0.000,0.012,0.000,0.026,0.066,0.099,0.126,0.557,0.008
Q63850,Nuclear pore glycoprotein p62 OS=Mus musculus GN=Nup62 PE=1 SV=2 [NUP62_MOUSE],9,11,19.6,0.263,0.000,0.017,0.000,0.007,0.063,0.122,0.153,0.369,0.005
Q811I0,ATP synthase mitochondrial F1 complex assembly factor 1 OS=Mus musculus GN=Atpaf1 PE=2 SV=1 [ATPF1_MOUSE],9,11,34.9,0.077,0.000,0.000,0.000,0.033,0.160,0.399,0.195,0.130,0.006
Q8BGS0,Protein MAK16 homolog OS=Mus musculus GN=Mak16 PE=1 SV=1 [MAK16_MOUSE],9,11,46.6,0.128,0.000,0.010,0.000,0.004,0.015,0.037,0.086,0.712,0.007
Q99KS2,Neugrin OS=Mus musculus GN=Ngrn PE=2 SV=3 [NGRN_MOUSE],9,11,33.8,0.025,0.008,0.009,0.010,0.079,0.152,0.371,0.179,0.156,0.011
Q9CQA5,Mediator of RNA polymerase II transcription subunit 4 OS=Mus musculus GN=Med4 PE=2 SV=1 [MED4_MOUSE],9,11,40.4,0.235,0.000,0.016,0.000,0.019,0.034,0.050,0.059,0.582,0.005
Q9CWU2,Palmitoyltransferase ZDHHC13 OS=Mus musculus GN=Zdhhc13 PE=1 SV=2 [ZDH13_MOUSE],9,11,19.1,0.024,0.000,0.004,0.006,0.112,0.272,0.332,0.163,0.083,0.005
Q9CYL5,Golgi-associated plant pathogenesis-related protein 1 OS=Mus musculus GN=Glipr2 PE=2 SV=3 [GAPR1_MOUSE],9,11,54.5,0.010,0.036,0.035,0.037,0.217,0.299,0.208,0.095,0.056,0.008
