Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Cope,O89079,O89079;D3Z315,Coatomer subunit epsilon,Large Protein Complex,Large Protein Complex,0.51,Medium,,"206,257","278,096","155,966",89.6%,797.7,984.6,604.1,137.8,,,,427,34.567
Pja1,O55176,O55176;B1AXU3;B1AXU4,E3 ubiquitin-protein ligase Praja-1,,Large Protein Complex,0.51,Medium,Organellar with Cytosolic pool,"8,335","13,628","6,584",51.0%,31.6,47.5,27.0,10.3,2%,24%,74%,110,63.905
Ndc1,Q8VCB1,Q8VCB1;J3QPB5,Nucleoporin NDC1,,Large Protein Complex,0.50,Medium,Mostly Nuclear,"32,400","37,359","26,689",71.0%,118.3,148.4,103.4,47.2,95%,5%,1%,148,75.409
Gstm5,P48774,P48774;E9PVM7;E9PV63,Glutathione S-transferase Mu 5,,Large Protein Complex,0.50,Medium,Mostly Cytosolic,"220,310","251,138","189,965",89.9%,858.5,875.8,735.8,113.4,1%,3%,96%,175,26.635
Grb2,Q60631,Q60631;B1AT92;Q60631-2,Growth factor receptor-bound protein 2,,Large Protein Complex,0.50,Medium,Mostly Cytosolic,"370,753","430,810","300,105",93.0%,1422.3,1550.4,1162.5,180.8,2%,5%,93%,242,25.238
Mark2,Q05512,Q05512;E9QMP6;Q05512-3;A0A0R4J227;A0A0R4J0B1;Q05512-4;E9Q9N6;E9PYX3;Q3T9A3;F6ZS70;Q05512-2,Serine/threonine-protein kinase MARK2,,Large Protein Complex,0.50,Medium,Organellar with Cytosolic pool,"6,159","7,868","3,647",46.2%,23.3,27.4,14.9,10.3,4%,68%,28%,211,86.305
Rdx,P26043,P26043;Q7TSG6,Radixin,,Large Protein Complex,0.50,Medium,,"792,112","833,553","624,751",96.0%,2882.1,3155.6,2557.3,1049.3,,,,1652,68.542
Pelp1,Q9DBD5,Q9DBD5,"Proline-, glutamic acid- and leucine-rich protein 1",,Large Protein Complex,0.50,Medium,,"28,402","37,054","23,222",69.4%,110.7,129.2,90.0,64.8,,,,192,118.07
Casp3,P70677,P70677,Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12,,Large Protein Complex,0.50,Low,Mostly Cytosolic,"557,674","613,852","440,782",94.9%,2049.7,2277.4,1804.3,339.2,2%,3%,95%,325,31.474
Exoc5,Q3TPX4,Q3TPX4;E9PZ92,Exocyst complex component 5,Large Protein Complex,Large Protein Complex,0.50,Low,,"19,931","25,054","13,312",64.0%,75.6,87.4,54.5,31.5,,,,317,81.737
Prcc,Q9EQC8,Q9EQC8,,,Large Protein Complex,0.50,Low,,"36,027","48,925","29,041",72.4%,136.6,170.6,118.9,36.4,,,,171,52.301
Actl6b,Q99MR0,Q99MR0;F8WI57,Actin-like protein 6B,,Large Protein Complex,0.49,Low,Nuclear and Cytosolic,"47,029","60,974","37,884",75.7%,178.3,212.6,155.1,42.6,63%,4%,33%,108,46.891
Vps52,Q8C754,Q8C754;G3UY33;Q8C754-2,Vacuolar protein sorting-associated protein 52 homolog,,Large Protein Complex,0.49,Low,,"30,834","35,557","27,064",70.3%,116.9,124.0,110.8,48.9,,,,119,82.043
Traf3,Q60803,Q60803;Q3UHJ1,TNF receptor-associated factor 3,,Large Protein Complex,0.49,Low,Organellar with Cytosolic pool,"1,424","3,490","1,271",26.9%,5.7,12.2,4.7,1.8,0%,76%,24%,68,64.293
Trappc10,F8VQF9,F8VQF9;Q3TLI0,Trafficking protein particle complex subunit 10,Large Protein Complex,Large Protein Complex,0.49,Low,Organellar with Cytosolic pool,"2,700","45,485","1,768",34.8%,10.8,158.6,6.6,7.4,1%,56%,43%,166,141.49
Gemin5,Q8BX17,Q8BX17;E9PUU4,Gem-associated protein 5,,Large Protein Complex,0.49,Low,Organellar with Cytosolic pool,"16,409","17,175","15,317",61.0%,61.6,64.6,59.3,52.8,1%,33%,66%,372,166.59
Stk25,Q9Z2W1,Q9Z2W1;D3Z359,Serine/threonine-protein kinase 25,,Large Protein Complex,0.48,Low,Organellar with Cytosolic pool,"3,184","3,581","2,269",37.0%,12.1,13.7,8.4,3.0,2%,55%,42%,75,48.157
Celf5,D3Z4T1,D3Z4T1;D3Z580;D3Z4C5;D3Z588,,,Large Protein Complex,0.48,Low,,"11,884","15,091","10,025",56.0%,46.3,58.5,35.0,9.8,,,,78,42.706
Ywhah,P68510,P68510,14-3-3 protein eta,Large Protein Complex,Large Protein Complex,0.48,Low,Organellar with Cytosolic pool,"946,935","1,063,870","755,867",96.6%,3480.3,3947.1,3094.0,516.3,4%,6%,90%,368,28.211
Ahsa1,Q8BK64,Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1,,Large Protein Complex,0.48,Low,Mostly Cytosolic,"353,652","374,600","229,014",92.7%,1279.5,1434.3,937.4,260.5,3%,4%,92%,349,38.117
Copb2,O55029,O55029,Coatomer subunit beta,Large Protein Complex,Large Protein Complex,0.48,Low,,"200,142","222,148","167,327",89.4%,753.8,784.9,684.9,396.3,,,,962,102.45
Actr10,Q9QZB7,Q9QZB7,Actin-related protein 10,,Large Protein Complex,0.48,Low,Organellar with Cytosolic pool,"38,985","52,495","29,594",73.5%,147.8,183.1,121.1,34.8,4%,12%,83%,211,46.207
Ddx20,Q9JJY4,Q9JJY4,Probable ATP-dependent RNA helicase DDX20,,Large Protein Complex,0.48,Low,Organellar with Cytosolic pool,"14,244","19,909","9,452",58.8%,54.0,69.4,38.7,25.2,5%,30%,65%,230,91.709
Arhgap5,P97393,P97393;E9PYT0,Rho GTPase-activating protein 5,,Large Protein Complex,0.48,Low,,"2,675","3,716","1,604",34.7%,9.7,14.1,6.6,8.9,,,,147,172.11
Pcm1,Q9R0L6,Q9R0L6,Pericentriolar material 1 protein,,Large Protein Complex,0.47,Low,Organellar with Cytosolic pool,"14,303","15,126","9,237",58.9%,51.4,58.6,37.8,63.3,3%,79%,18%,830,228.84
Eef1e1,Q9D1M4,Q9D1M4,Eukaryotic translation elongation factor 1 epsilon-1,,Large Protein Complex,0.47,Low,,"210,124","259,454","156,807",89.7%,772.3,962.6,641.9,80.6,,,,162,19.859
Atic,Q9CWJ9,Q9CWJ9,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,,Large Protein Complex,0.47,Low,Mostly Cytosolic,"377,272","448,880","353,401",93.1%,1463.9,1596.6,1353.9,468.2,2%,4%,95%,550,64.217
Fam49b,Q921M7,Q921M7,Protein FAM49B,,Large Protein Complex,0.47,Low,Mostly Cytosolic,"248,489","284,974","245,959",90.8%,974.6,1024.4,912.5,176.6,2%,5%,93%,313,36.776
Rbmx2,Q8R0F5,Q8R0F5,"RNA-binding motif protein, X-linked 2",,Large Protein Complex,0.47,Low,,"23,899","35,664","20,326",66.9%,93.7,124.4,77.7,17.3,,,,66,37.535
Polr2a,P08775,P08775;A0A0R4J0V5,DNA-directed RNA polymerase II subunit RPB1,,Large Protein Complex,0.47,Low,Nuclear and Cytosolic,"101,307","119,319","95,761",83.5%,394.8,416.1,370.9,425.2,59%,2%,39%,768,217.17
Ddx3y,Q62095,Q62095,ATP-dependent RNA helicase DDX3Y,,Large Protein Complex,0.46,Low,,"25,773","33,800","21,476",67.9%,92.7,130.9,87.9,36.6,,,,82,73.427
Hspbp1,Q99P31,Q99P31;A0A0U1RPF2,Hsp70-binding protein 1,,Large Protein Complex,0.46,Low,Mostly Cytosolic,"41,322","44,154","33,705",74.1%,151.9,163.8,138.0,31.3,5%,4%,91%,123,39.166
Fabp5,Q05816,Q05816;Q497I3,"Fatty acid-binding protein, epidermal",,Large Protein Complex,0.46,Low,Mostly Cytosolic,"4,169,359","4,585,730","3,804,870",99.5%,15691.1,17147.2,14738.2,1219.7,5%,5%,91%,597,15.137
Gspt1,Q8R050,Q8R050;Q8R050-2,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,,Large Protein Complex,0.45,Low,Mostly Cytosolic,"301,824","343,948","259,858",91.9%,1109.3,1276.1,1063.7,400.3,3%,4%,93%,470,68.625
Cacybp,Q9CXW3,Q9CXW3,Calcyclin-binding protein,,Large Protein Complex,0.45,Low,,"875,717","918,748","713,799",96.3%,3257.8,3327.1,2921.8,448.7,,,,558,26.51
Rab21,P35282,P35282;Q0PD35,Ras-related protein Rab-21,,Large Protein Complex,0.45,Low,,"34,754","39,440","20,587",71.9%,128.5,144.6,84.3,16.2,,,,165,24.106
Wdr18,Q4VBE8,Q4VBE8,WD repeat-containing protein 18,,Large Protein Complex,0.44,Low,,"123,572","124,065","67,273",85.3%,446.2,476.9,275.4,112.8,,,,247,47.211
Fermt2,Q8CIB5,Q8CIB5;Q3TLE2,Fermitin family homolog 2,,Large Protein Complex,0.44,Low,,"38,147","42,713","27,594",73.2%,144.6,149.0,113.0,57.4,,,,316,77.8
Pak2,Q8CIN4,Q8CIN4,Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34,,Large Protein Complex,0.44,Low,,"393,745","428,927","375,986",93.3%,1509.8,1539.0,1462.0,440.8,,,,708,57.93
Tex10,Q3URQ0,Q3URQ0,Testis-expressed sequence 10 protein,,Large Protein Complex,0.44,Low,,"41,250","61,856","33,016",74.1%,160.8,215.7,127.9,83.9,,,,278,105.21
Rc3h1,Q4VGL6,Q4VGL6;H7BX02,Roquin-1,,Large Protein Complex,0.44,Low,Organellar with Cytosolic pool,850,967,471,21.2%,3.1,3.7,1.9,2.1,4%,73%,23%,73,125.38
Ift122,Q6NWV3,Q6NWV3;Q6NWV3-2;E9Q9G8,Intraflagellar transport protein 122 homolog,,Large Protein Complex,0.44,Low,,"2,898","6,028","1,467",35.7%,11.5,22.4,5.1,7.5,,,,132,134.8
Ddx47,Q9CWX9,Q9CWX9;Q4VBG1;A0A0N4SVT1;F6QKD2,Probable ATP-dependent RNA helicase DDX47,,Large Protein Complex,0.44,Low,Mostly Nuclear,"57,494","66,572","37,284",77.8%,211.3,247.0,152.6,56.3,94%,4%,2%,108,50.638
Trappc6b,Q9D289,Q9D289,Trafficking protein particle complex subunit 6B,,Large Protein Complex,0.43,Low,Organellar with Cytosolic pool,"25,357","32,382","20,861",67.7%,101.0,120.1,72.8,8.8,5%,41%,54%,116,17.936
Cdk12,Q14AX6,Q14AX6;Q14AX6-3;Q14AX6-2,Cyclin-dependent kinase 12,,Large Protein Complex,0.43,Low,,"7,804","8,896","7,682",49.9%,30.4,31.8,29.0,24.7,,,,133,163.68
Cyfip2,Q5SQX6,Q5SQX6;F6QD74,Cytoplasmic FMR1-interacting protein 2,,Large Protein Complex,0.42,Low,,"30,950","40,249","27,780",70.4%,123.2,140.4,103.1,87.1,,,,701,145.66
Actr1b,Q8R5C5,Q8R5C5,Beta-centractin,,Large Protein Complex,0.41,Low,Organellar with Cytosolic pool,"46,515","51,607","29,467",75.5%,167.3,199.9,120.6,38.0,4%,10%,86%,123,42.281
Arfgap2,Q99K28,Q99K28;Q99K28-2,ADP-ribosylation factor GTPase-activating protein 2,,Large Protein Complex,0.41,Low,,"32,034","38,319","29,389",70.9%,122.1,133.6,119.0,35.0,,,,348,56.598
Me1,P06801,P06801;Q3TQP6,NADP-dependent malic enzyme;Malic enzyme,,Large Protein Complex,0.41,Low,,"2,795","4,177","2,118",35.3%,10.6,14.6,8.7,3.5,,,,121,63.953
,Q922M7,Q922M7,Ashwin,,Large Protein Complex,0.41,Low,,"46,908","50,505","25,567",75.6%,169.5,193.9,104.7,23.6,,,,103,26.03
Mpped2,Q9CZJ0,Q9CZJ0;B1APT1;B1APT2,Metallophosphoesterase MPPED2,,Large Protein Complex,0.41,Low,Nuclear and Cytosolic,"130,243","142,336","117,709",85.8%,507.6,551.3,410.5,84.0,48%,2%,50%,129,33.373
Nfx1,B1AY10,B1AY10;B1AY10-2;B1AY10-3,Transcriptional repressor NF-X1,,Large Protein Complex,0.41,Low,Organellar with Cytosolic pool,"1,780","2,998","1,283",29.6%,6.7,10.5,5.3,4.3,3%,56%,41%,95,123.81
Ykt6,Q9CQW1,Q9CQW1,Synaptobrevin homolog YKT6,,Large Protein Complex,0.40,Low,,"282,191","304,315","256,393",91.5%,1069.8,1245.7,894.1,121.7,,,,251,22.314
Cit,P49025,P49025;E9QL53;D3YU89;P49025-5;F6SBR5;D3Z1U0;P49025-4;P49025-3,Citron Rho-interacting kinase,,Large Protein Complex,0.40,Low,,643,"2,704",239,18.4%,2.4,9.4,1.0,2.9,,,,79,235.39
Pcbp2,Q61990,Q61990;Q61990-3,Poly(rC)-binding protein 2,,Large Protein Complex,0.40,Low,,"1,014,103","1,042,140","932,169",96.8%,3751.7,4006.5,3634.3,749.1,,,,513,38.221
Camsap3,E9Q5B0,E9Q5B0,,,Large Protein Complex,0.40,Low,,"4,079","5,147","3,866",40.3%,16.2,17.9,14.4,10.7,,,,237,135.27
Rab5b,P61021,P61021;B2RPS1,Ras-related protein Rab-5B,,Large Protein Complex,0.40,Low,,"273,571","295,429","245,847",91.3%,1013.7,1189.7,912.1,125.3,,,,314,23.707
Gm20431,E9PY39,E9PY39;B7ZBY7,,,Large Protein Complex,0.39,Low,Mostly Cytosolic,"366,408","425,939","303,089",93.0%,1346.7,1743.5,1124.5,298.1,4%,4%,92%,204,42.096
Eif2d,Q61211,Q61211;E9PUG7;A0A0R4J298;Q61211-2;Q8C8I3,Eukaryotic translation initiation factor 2D,,Large Protein Complex,0.39,Low,,"5,752","7,484","4,895",45.3%,22.9,26.1,18.2,7.0,,,,115,62.829
Akt1,P31750,P31750;D3Z783,RAC-alpha serine/threonine-protein kinase,,Large Protein Complex,0.38,Low,Mostly Cytosolic,"89,576","112,704","87,361",82.6%,342.2,436.6,317.0,96.4,3%,4%,93%,239,55.707
Cpsf6,H3BJW3,H3BJW3;Q6NVF9;H3BJ30;H3BKW0,Cleavage and polyadenylation specificity factor subunit 6,,Large Protein Complex,0.38,Low,,"219,197","274,847","200,158",89.9%,854.2,958.5,775.3,268.6,,,,411,63.413
Dab2ip,Q3UHC7,Q3UHC7;A2AUX3;F6RK07;A2AUX5;Q3UHC7-2;B7ZD29;Q3UHC7-4;Q3UHC7-3;F6QQP6,Disabled homolog 2-interacting protein,,Large Protein Complex,0.37,Low,,"4,875","5,845","4,326",42.9%,19.0,20.8,16.4,12.4,,,,201,131.72
Cab39,Q06138,Q06138,Calcium-binding protein 39,,Large Protein Complex,0.37,Low,Mostly Cytosolic,"205,194","235,021","170,280",89.6%,754.2,871.9,697.0,158.0,2%,4%,94%,260,39.842
Cmss1,Q9CZT6,Q9CZT6,Protein CMSS1,,Large Protein Complex,0.37,Low,,"29,377","41,028","21,195",69.8%,108.9,158.9,81.7,17.9,,,,66,31.593
Cfl1,P18760,P18760;F8WGL3,Cofilin-1,,Large Protein Complex,0.37,Low,,"12,598,994","13,043,100","11,196,500",99.9%,46734.4,50522.8,43095.6,4519.1,,,,1009,18.559
Crmp1,Q6P1J1,Q6P1J1,,,Large Protein Complex,0.37,Low,,"2,127,710","2,450,480","1,544,270",98.7%,7874.9,9891.5,5729.4,3052.1,,,,1498,74.22
Recql,Q9Z129,Q9Z129;E9Q3N0;Q9Z129-2,ATP-dependent DNA helicase Q1,,Large Protein Complex,0.36,Low,Nuclear and Cytosolic,"10,565","16,725","6,818",54.2%,38.0,64.8,27.9,14.8,84%,5%,11%,65,72.484
Prkdc,P97313,P97313,DNA-dependent protein kinase catalytic subunit,,Large Protein Complex,0.36,Low,,"2,845","3,000","2,642",35.5%,10.9,11.1,10.0,25.9,,,,310,471.47
Map1a,Q9QYR6,Q9QYR6;A2ARP8;Q9QYR6-2,Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2,,Large Protein Complex,0.36,Low,Organellar with Cytosolic pool,"15,807","22,254","11,244",60.4%,59.9,77.6,46.0,91.7,2%,30%,69%,739,300.14
Nhp2,Q9CRB2,Q9CRB2,H/ACA ribonucleoprotein complex subunit 2,,Large Protein Complex,0.36,Low,Mostly Nuclear,"173,113","210,554","82,936",88.4%,656.3,734.3,339.5,57.7,94%,2%,4%,93,17.247
Ltn1,Q6A009,Q6A009,E3 ubiquitin-protein ligase listerin,,Large Protein Complex,0.36,Low,,"5,254","7,579","4,351",44.0%,20.5,26.4,16.9,20.2,,,,233,198.92
Ap1g1,P22892,P22892;Q8CBB7,AP-1 complex subunit gamma-1,Large Protein Complex,Large Protein Complex,0.35,Low,Organellar with Cytosolic pool,"69,835","75,408","61,764",79.9%,256.7,308.7,229.1,123.3,3%,14%,83%,361,91.349
Syn1,O88935,O88935;O88935-3,Synapsin-1,,Large Protein Complex,0.35,Low,,"19,611","25,493","15,563",63.7%,78.1,88.9,57.7,28.1,,,,307,74.096
Ptpn2,Q06180,Q06180;Q06180-2;D3Z6W2,Tyrosine-protein phosphatase non-receptor type 2;Tyrosine-protein phosphatase non-receptor type,,Large Protein Complex,0.34,Low,,"30,621","44,786","21,347",70.2%,112.5,166.2,87.4,28.0,,,,161,47.36
Tial1,Q921W2,Q921W2;D3Z3Y4,,,Large Protein Complex,0.34,Low,,"197,327","233,127","189,886",89.3%,774.6,813.0,725.0,158.4,,,,414,41.53
Senp3,Q9EP97,Q9EP97,Sentrin-specific protease 3,,Large Protein Complex,0.34,Low,,"36,645","42,269","27,918",72.7%,131.8,163.7,114.3,45.6,,,,196,64.402
Cdc37,Q61081,Q61081,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",,Large Protein Complex,0.33,Low,Mostly Cytosolic,"282,373","347,137","241,639",91.5%,1067.2,1287.9,935.4,243.4,3%,5%,91%,376,44.593
Tbck,E9Q1W7,E9Q1W7;Q8BM85;Q8BM85-2,TBC domain-containing protein kinase-like protein,,Large Protein Complex,0.33,Low,,"5,480","8,171","4,626",44.6%,21.8,28.5,17.2,10.7,,,,116,100.64
Ptpn11,P35235,P35235,Tyrosine-protein phosphatase non-receptor type 11,,Large Protein Complex,0.33,Low,Mostly Cytosolic,"156,774","171,672","141,880",87.5%,590.3,636.9,553.4,207.4,3%,4%,93%,430,68.46
Hdgfrp2,Q3UMU9,Q3UMU9-3;Q3UMU9;Q3UMU9-2;Q3UMU9-4,Hepatoma-derived growth factor-related protein 2,,Large Protein Complex,0.32,Low,Nuclear and Cytosolic,"156,893","163,601","154,036",87.5%,594.8,630.5,570.5,228.2,32%,1%,67%,240,75.245
Sumo2,P61957,P61957;H7BWX9;D3Z794;G3UZX6,Small ubiquitin-related modifier 2,,Large Protein Complex,0.32,Low,Nuclear and Cytosolic,"3,851,467","4,249,070","3,009,720",99.4%,14155.6,15764.4,12319.7,809.2,70%,3%,27%,105,10.871
Hmgn2,P09602,P09602;Q5BL14;A3KGL9;F6W687;Q5XK38;B7ZCQ3;E9Q2Z4;J3QM43,Non-histone chromosomal protein HMG-17,,Large Protein Complex,0.32,Low,Mostly Nuclear,"7,260,043","7,891,180","7,116,400",99.7%,27421.7,32301.0,24999.7,1322.1,96%,3%,1%,134,9.4226
Psat1,Q99K85,Q99K85;Q543K5,Phosphoserine aminotransferase,,Large Protein Complex,0.32,Low,Mostly Cytosolic,"1,159,546","1,263,180","1,140,760",97.1%,4558.6,4686.5,4081.2,907.0,1%,4%,95%,481,40.472
Cnot2,Q8C5L3,Q8C5L3;E9Q027;E9Q8D5;Q8C5L3-3,CCR4-NOT transcription complex subunit 2,Large Protein Complex,Large Protein Complex,0.32,Low,,"34,407","50,095","27,399",71.8%,134.1,174.7,106.1,39.7,,,,332,59.71
Nav3,Q80TN7,Q80TN7;E9QMF5;F6SRT8,Neuron navigator 3,,Large Protein Complex,0.32,Low,,943,"1,359",819,22.4%,3.8,4.7,3.0,4.6,,,,170,252.3
Tor1aip1,Q921T2,Q921T2-2;Q921T2;E9PWW2;Q921T2-3,Torsin-1A-interacting protein 1,,Large Protein Complex,0.31,Low,Mostly Nuclear,"71,310","76,851","50,909",80.2%,258.1,294.0,208.4,89.4,95%,4%,1%,200,64.844
Cblb,Q3TTA7,Q3TTA7;B9EKI5;Q3TTA7-2,E3 ubiquitin-protein ligase CBL-B,,Large Protein Complex,0.30,Low,,"1,896","3,442",955,30.4%,7.5,12.0,3.5,4.0,,,,73,109.09
Ppp1r8,Q8R3G1,Q8R3G1;A2ADR8,Nuclear inhibitor of protein phosphatase 1,,Large Protein Complex,0.30,Low,,"96,452","120,438","69,565",83.1%,375.9,420.0,269.5,71.8,,,,231,38.527
Dimt1,Q9D0D4,Q9D0D4,Probable dimethyladenosine transferase,,Large Protein Complex,0.30,Low,,"53,491","57,521","40,545",77.1%,201.2,215.2,157.1,36.5,,,,130,35.274
Dpp3,Q99KK7,Q99KK7,Dipeptidyl peptidase 3,,Large Protein Complex,0.29,Low,Mostly Cytosolic,"215,431","248,602","183,563",89.8%,836.8,872.5,711.0,345.1,1%,2%,97%,363,82.897
Copg2,Q9QXK3,Q9QXK3;A0A0M3HEQ7;Q9QXK3-4,Coatomer subunit gamma-2,Large Protein Complex,Large Protein Complex,0.29,Low,,"71,347","84,016","52,170",80.2%,258.0,323.8,212.4,134.7,,,,400,97.679
Itpa,Q9D892,Q9D892;Q60I30,Inosine triphosphate pyrophosphatase,,Large Protein Complex,0.29,Low,Mostly Cytosolic,"585,822","691,390","447,720",95.0%,2168.2,2652.0,1748.1,247.9,1%,2%,96%,160,21.897
C2cd3,Q52KB6,Q52KB6;E9Q526;Q52KB6-2;Q52KB6-3;D3Z640,C2 domain-containing protein 3,,Large Protein Complex,0.28,Low,Mostly Organellar,335,463,237,12.9%,1.2,1.8,1.0,1.7,1%,96%,3%,76,255.34
Ubr5,E9Q2H1,E9Q2H1;Q80TP3,E3 ubiquitin-protein ligase UBR5,,Large Protein Complex,0.28,Low,Nuclear and Cytosolic,"11,632","12,165","10,791",55.7%,44.1,49.8,37.6,69.5,8%,4%,88%,237,308.96
Ube2k,P61087,P61087;Q6ZWQ6;A0A0J9YUI1;A0A0J9YU07;Q3V3R8;D3Z4U3,Ubiquitin-conjugating enzyme E2 K,,Large Protein Complex,0.28,Low,Mostly Cytosolic,"335,277","438,197","309,962",92.5%,1232.3,1793.7,1150.0,145.2,3%,3%,94%,185,22.406
Ran,P62827,P62827,GTP-binding nuclear protein Ran,,Large Protein Complex,0.28,Low,Nuclear and Cytosolic,"3,206,332","3,677,260","2,809,030",99.3%,12524.8,13852.7,10024.9,1513.4,20%,4%,76%,351,24.423
Nap1l1,P28656,P28656;E9PW66,Nucleosome assembly protein 1-like 1,,Large Protein Complex,0.28,Low,Mostly Cytosolic,"950,294","1,122,220","818,958",96.7%,3492.7,4163.5,3352.3,832.8,3%,5%,92%,437,45.345
Rab14,Q91V41,Q91V41;Q50HX4;A2AL34,Ras-related protein Rab-14,Endosome,Large Protein Complex,0.28,Low,,"619,340","704,520","583,320",95.2%,2371.8,2544.3,2259.5,286.0,,,,580,23.897
Ttc5,Q99LG4,Q99LG4,Tetratricopeptide repeat protein 5,,Large Protein Complex,0.28,Low,Mostly Cytosolic,"64,717","81,192","58,267",79.0%,245.3,283.1,238.5,61.0,2%,7%,92%,227,48.795
Smek1,E9Q481,E9Q481;Q6P2K6,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,,Large Protein Complex,0.28,Low,Mostly Cytosolic,"69,361","75,825","64,324",79.8%,262.1,281.3,249.2,127.8,1%,1%,98%,173,95.313
Akr1a1,Q9JII6,Q9JII6;Q540D7;B1AXW3,Alcohol dehydrogenase [NADP(+)],,Large Protein Complex,0.27,Low,Mostly Cytosolic,"379,624","395,181","362,090",93.1%,1457.0,1578.2,1262.7,268.4,1%,3%,96%,225,36.586
Isg20l2,Q3U1G5,Q3U1G5;A0A0R4J0R3,Interferon-stimulated 20 kDa exonuclease-like 2,,Large Protein Complex,0.27,Low,Mostly Nuclear,"67,112","72,711","53,469",79.5%,253.7,269.4,207.1,53.2,96%,3%,1%,102,41.019
Sugt1,Q9CX34,Q9CX34,Suppressor of G2 allele of SKP1 homolog,,Large Protein Complex,0.27,Low,Organellar with Cytosolic pool,"296,214","337,980","251,789",91.8%,1113.7,1266.1,975.3,218.4,4%,6%,90%,341,38.158
Cep97,Q9CZ62,Q9CZ62;Q9CZ62-2,Centrosomal protein of 97 kDa,,Large Protein Complex,0.27,Low,Organellar with Cytosolic pool,"8,823","12,853","6,881",51.8%,32.4,47.7,28.2,16.1,0%,12%,88%,131,94.64
Ercc3,P49135,P49135,TFIIH basal transcription factor complex helicase XPB subunit,,Large Protein Complex,0.27,Low,,"6,663","8,841","5,516",47.5%,25.5,32.8,20.8,11.5,,,,95,89.125
Synj1,D3Z656,D3Z656;Q8CHC4;E9Q7S0;F7BQW7,Synaptojanin-1,,Large Protein Complex,0.27,Low,Organellar with Cytosolic pool,"4,755","5,592","3,778",42.5%,17.4,20.9,15.5,16.2,3%,22%,75%,201,176.33
Ccdc50,Q810U5,Q810U5;Q810U5-3;Q810U5-2;F6UK66,Coiled-coil domain-containing protein 50,,Large Protein Complex,0.27,Low,Organellar with Cytosolic pool,"45,376","56,249","29,678",75.1%,172.0,196.2,121.5,31.0,4%,20%,75%,150,35.321
Kiaa1468,Q148V7,Q148V7;E9QM90;G3X9J4;Q148V7-3,LisH domain and HEAT repeat-containing protein KIAA1468,,Large Protein Complex,0.27,Low,Nuclear and Cytosolic,"13,925","16,104","10,693",58.5%,50.2,65.6,41.4,36.2,10%,4%,86%,135,134.59
Rcor2,Q8C796,Q8C796;A0A0R4J1I0,REST corepressor 2,,Large Protein Complex,0.26,Low,Mostly Nuclear,"112,641","141,567","110,230",84.5%,448.5,493.7,409.0,126.1,90%,2%,7%,198,57.907
Babam1,Q3UI43,Q3UI43,BRISC and BRCA1-A complex member 1,,Large Protein Complex,0.26,Low,Mostly Cytosolic,"41,671","47,402","36,347",74.2%,156.8,175.1,142.5,29.6,5%,5%,91%,94,36.793
Nedd4,P46935,P46935;B2RSC8,E3 ubiquitin-protein ligase NEDD4,,Large Protein Complex,0.26,Low,Mostly Cytosolic,"195,506","238,566","165,625",89.3%,738.8,885.1,641.4,388.1,3%,6%,91%,603,102.71
Ldhb,P16125,P16125;D3Z7F0,L-lactate dehydrogenase B chain;L-lactate dehydrogenase,,Large Protein Complex,0.25,Low,Mostly Cytosolic,"1,308,129","1,498,970","1,233,860",97.5%,4979.0,5561.3,4709.3,924.6,3%,4%,93%,403,36.572
Clic1,Q9Z1Q5,Q9Z1Q5;Q542F1,Chloride intracellular channel protein 1;Chloride intracellular channel protein,,Large Protein Complex,0.25,Low,Mostly Cytosolic,"647,447","706,903","398,414",95.4%,2379.6,2622.7,1630.8,338.0,1%,3%,96%,301,27.013
Sept5,Q9Z2Q6,Q9Z2Q6,Septin-5,,Large Protein Complex,0.25,Low,,"159,001","258,234","150,861",87.6%,614.7,958.1,558.2,131.4,,,,472,42.747
Arhgdia,Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1,,Large Protein Complex,0.25,Low,Mostly Cytosolic,"2,097,213","2,207,990","1,729,180",98.6%,7775.6,8506.9,6698.0,948.7,3%,5%,93%,417,23.407
Pold1,P52431,P52431;D6RFB8,DNA polymerase delta catalytic subunit;DNA polymerase,,Large Protein Complex,0.25,Low,Mostly Cytosolic,"47,883","51,561","38,748",75.8%,172.2,199.7,158.6,114.6,4%,2%,93%,228,123.79
Supt5h,O55201,O55201;O55201-2,Transcription elongation factor SPT5,,Large Protein Complex,0.25,Low,Nuclear and Cytosolic,"141,414","155,316","113,994",86.5%,528.6,557.2,466.6,329.8,44%,1%,55%,462,120.66
