ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
Q8N6T3,0.01,0.073,0.01,0.044,0.11,0.073,0.079,0.096,0.011,0.085,0.049,0.096,0.124,0.097,0.108,0.115,0.117,0.094,0.115,0.118,0.125,0.117,0.181,0.155,0.148,0.147,0.165,0.096,0.074,0.088,0.084,0.09,0.021,0.021,0.018,0.013,0.229,0.206,0.167,0.168,Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens GN=ARFGAP1 PE=1 SV=2 - [ARFG1_HUMAN],51.72,5,18,18,41,126.98,24.38,8,8,123.81,21.43,8,8,269.02,42.36,13,13,333.81,35.96,11,12,unknown,NUCLEUS,0.272493347,unknown
Q9Y282,0.01,0.075,0.01,0.041,0.151,0.118,0.139,0.141,0.01,0.164,0.136,0.216,0.221,0.156,0.234,0.185,0.203,0.164,0.183,0.146,0.202,0.141,0.157,0.104,0.159,0.098,0.098,0.049,0.039,0.06,0.044,0.085,0.01,0.01,0.01,0.01,0.01,0.013,0.01,0.01,Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens GN=ERGIC3 PE=1 SV=1 - [ERGI3_HUMAN],51.7,3,16,16,36,82.35,13.05,5,8,64.91,18.54,8,9,118.36,17.23,7,8,174.4,41.51,11,11,unknown,GOLGI,0.557857922,unknown
Q13573,0.01,0.01,0.01,0.016,0.012,0.014,0.013,0.03,0.01,0.027,0.01,0.03,0.038,0.044,0.018,0.049,0.041,0.054,0.024,0.061,0.074,0.089,0.038,0.051,0.048,0.126,0.036,0.305,0.457,0.276,0.574,0.217,0.275,0.265,0.178,0.116,0.042,0.092,0.107,0.074,Q13573,SNW domain-containing protein 1 OS=Homo sapiens GN=SNW1 PE=1 SV=1 - [SNW1_HUMAN],51.68,1,27,27,82,216.78,26.87,14,14,194.85,27.61,11,15,531.41,42.91,21,27,398.01,45.52,20,26,NUCLEUS,NUCLEUS,1,NUCLEUS
Q9HD34,0.01,0.026,0.01,0.029,0.055,0.035,0.111,0.079,0.01,0.063,0.076,0.091,0.116,0.099,0.119,0.113,0.132,0.192,0.16,0.26,0.349,0.263,0.284,0.174,0.149,0.178,0.159,0.064,0.095,0.127,0.055,0.102,0.014,0.01,0.014,0.012,0.073,0.01,0.01,0.01,Q9HD34,LYR motif-containing protein 4 OS=Homo sapiens GN=LYRM4 PE=1 SV=1 - [LYRM4_HUMAN],51.65,1,5,5,8,24.82,13.19,1,1,46.37,24.18,2,2,31.83,28.57,2,2,52.97,31.87,3,3,unknown,MITOCHONDRIA,0.928539398,unknown
P28838,0.01,0.048,0.01,0.059,0.068,0.045,0.089,0.071,0.016,0.057,0.055,0.065,0.09,0.075,0.073,0.083,0.102,0.112,0.103,0.2,0.21,0.16,0.209,0.134,0.142,0.112,0.117,0.056,0.062,0.078,0.049,0.069,0.017,0.01,0.01,0.01,0.268,0.297,0.271,0.249,P28838-2,Isoform 2 of Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 - [AMPL_HUMAN],51.64,2,22,22,76,285.4,32.38,12,16,367.82,31.56,13,18,435.4,39.55,16,21,351.93,39.75,15,21,unknown,NUCLEUS,0.346144029,unknown
Q99661,0.01,0.024,0.01,0.027,0.029,0.027,0.038,0.031,0.011,0.036,0.024,0.034,0.069,0.057,0.043,0.051,0.078,0.073,0.063,0.075,0.144,0.15,0.096,0.08,0.177,0.223,0.13,0.214,0.194,0.168,0.284,0.183,0.231,0.187,0.194,0.189,0.027,0.028,0.103,0.093,Q99661,Kinesin-like protein KIF2C OS=Homo sapiens GN=KIF2C PE=1 SV=2 - [KIF2C_HUMAN],51.59,2,28,31,80,324.5,19.45,13,16,505.91,24.41,13,16,655.53,30.76,18,22,729.09,39.03,22,26,unknown,NUCLEUS-CHROMATIN,0.839641847,unknown
Q92896,0.01,0.067,0.01,0.035,0.151,0.119,0.152,0.205,0.01,0.148,0.121,0.258,0.206,0.132,0.25,0.187,0.166,0.145,0.154,0.105,0.238,0.149,0.112,0.066,0.144,0.101,0.064,0.023,0.04,0.07,0.039,0.06,0.036,0.035,0.055,0.045,0.01,0.01,0.01,0.01,Q92896,Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2 - [GSLG1_HUMAN],51.57,4,63,63,226,473.26,21.54,27,36,808.09,23.24,32,43,1173.06,38.59,44,67,1753.03,41.22,44,80,GOLGI,GOLGI,1,GOLGI
Q86Y07,0.01,0.026,0.01,0.026,0.07,0.044,0.068,0.064,0.012,0.093,0.051,0.092,0.162,0.131,0.128,0.136,0.165,0.171,0.167,0.201,0.196,0.164,0.24,0.176,0.169,0.126,0.157,0.09,0.079,0.102,0.115,0.121,0.135,0.106,0.073,0.061,0.01,0.01,0.01,0.01,Q86Y07,Serine/threonine-protein kinase VRK2 OS=Homo sapiens GN=VRK2 PE=1 SV=3 - [VRK2_HUMAN],51.57,5,22,22,61,169.06,32.28,15,15,223.72,19.49,9,9,372.11,32.87,14,17,296.52,37.01,15,20,unknown,ER,0.618871565,unknown
Q01813,0.01,0.05,0.01,0.021,0.072,0.041,0.049,0.049,0.01,0.052,0.027,0.044,0.099,0.066,0.046,0.064,0.099,0.081,0.056,0.062,0.138,0.108,0.079,0.078,0.131,0.131,0.08,0.143,0.209,0.165,0.256,0.163,0.029,0.019,0.027,0.026,0.189,0.291,0.346,0.303,Q01813,"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2 - [PFKAP_HUMAN]",51.53,2,32,37,86,447.14,24.11,17,20,405.48,20.03,14,16,464.45,29.21,16,16,707.61,44.52,26,34,unknown,NUCLEUS,0.516849835,unknown
Q15717,0.01,0.016,0.01,0.012,0.039,0.015,0.016,0.012,0.01,0.018,0.01,0.01,0.043,0.021,0.014,0.014,0.035,0.026,0.017,0.014,0.034,0.031,0.026,0.026,0.034,0.056,0.035,0.144,0.209,0.166,0.256,0.183,0.544,0.595,0.478,0.429,0.026,0.059,0.146,0.15,Q15717,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2 - [ELAV1_HUMAN],51.53,2,16,17,67,342.95,47.85,14,19,365.89,47.55,13,15,440.7,34.36,10,17,336.46,34.36,11,16,unknown,NUCLEUS,0.701042218,NUCLEUS
O43561,0.047,0.14,0.095,0.18,0.122,0.15,0.192,0.159,0.058,0.172,0.133,0.133,0.196,0.177,0.165,0.176,0.19,0.153,0.16,0.098,0.153,0.074,0.104,0.089,0.12,0.052,0.08,0.036,0.066,0.061,0.036,0.072,0.022,0.012,0.015,0.011,0.026,0.01,0.013,0.01,O43561,Linker for activation of T-cells family member 1 OS=Homo sapiens GN=LAT PE=1 SV=1 - [LAT_HUMAN],51.53,5,6,6,11,57.43,7.63,1,1,37.32,3.82,1,1,95.59,38.17,4,4,113.96,43.89,5,5,unknown,PM,0.883444749,unknown
Q9UNZ5,0.01,0.011,0.01,0.024,0.012,0.022,0.032,0.031,0.012,0.045,0.027,0.036,0.091,0.077,0.054,0.087,0.11,0.111,0.088,0.099,0.16,0.116,0.118,0.101,0.043,0.119,0.115,0.171,0.336,0.328,0.389,0.25,0.214,0.158,0.124,0.15,0.024,0.032,0.039,0.035,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens GN=C19orf53 PE=1 SV=1 - [L10K_HUMAN],51.52,1,9,10,18,59.51,24.24,3,3,75.97,24.24,4,4,92.64,34.34,6,7,72.34,30.3,4,4,unknown,NUCLEUS,0.672719345,NUCLEUS
P11717,0.01,0.082,0.01,0.065,0.197,0.177,0.122,0.173,0.014,0.288,0.172,0.279,0.395,0.212,0.33,0.261,0.197,0.095,0.197,0.081,0.068,0.044,0.069,0.053,0.046,0.031,0.044,0.016,0.018,0.023,0.023,0.044,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,P11717,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3 - [MPRI_HUMAN],51.51,1,120,120,468,1846.05,25.81,64,92,1789.91,30.43,66,101,2889.17,39.78,88,138,3086.3,43.36,90,137,unknown,NUCLEUS,0.435021925,unknown
Q9P2B4,0.01,0.035,0.018,0.066,0.047,0.044,0.076,0.06,0.014,0.069,0.052,0.054,0.106,0.099,0.071,0.1,0.13,0.122,0.098,0.085,0.144,0.123,0.13,0.133,0.125,0.145,0.125,0.119,0.284,0.203,0.171,0.136,0.037,0.027,0.044,0.044,0.108,0.122,0.219,0.2,Q9P2B4,CTTNBP2 N-terminal-like protein OS=Homo sapiens GN=CTTNBP2NL PE=1 SV=2 - [CT2NL_HUMAN],51.49,1,32,32,70,394.38,33.49,18,21,380.79,35.21,18,20,215.09,24.73,15,15,214.51,27.54,14,14,unknown,NUCLEUS,0.411929356,unknown
O75477,0.01,0.069,0.01,0.027,0.103,0.103,0.093,0.114,0.01,0.148,0.094,0.156,0.212,0.171,0.191,0.213,0.202,0.176,0.203,0.165,0.183,0.121,0.168,0.131,0.14,0.087,0.12,0.051,0.043,0.06,0.06,0.082,0.074,0.055,0.045,0.039,0.01,0.01,0.01,0.01,O75477,Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1 - [ERLN1_HUMAN],51.45,1,19,24,103,379.48,37.86,17,24,525.91,29.48,12,27,376.34,43.64,17,24,539.45,46.24,19,28,ER,ER,1,ER
Q9BQ39,0.01,0.013,0.01,0.012,0.02,0.018,0.016,0.016,0.01,0.032,0.017,0.023,0.048,0.048,0.026,0.036,0.049,0.058,0.038,0.044,0.08,0.095,0.053,0.051,0.077,0.125,0.047,0.278,0.366,0.285,0.592,0.334,0.32,0.277,0.165,0.157,0.019,0.038,0.025,0.03,Q9BQ39,ATP-dependent RNA helicase DDX50 OS=Homo sapiens GN=DDX50 PE=1 SV=1 - [DDX50_HUMAN],51.42,3,33,36,86,450.81,19.67,14,18,312.25,18.86,12,13,512.59,32.56,20,23,607.09,43.28,27,32,NUCLEUS,NUCLEUS,1,NUCLEUS
P35250,0.01,0.018,0.01,0.016,0.034,0.02,0.035,0.029,0.01,0.032,0.023,0.034,0.069,0.049,0.039,0.045,0.072,0.061,0.051,0.08,0.128,0.131,0.098,0.081,0.151,0.209,0.126,0.217,0.156,0.128,0.237,0.138,0.241,0.213,0.218,0.184,0.107,0.13,0.137,0.143,P35250,Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3 - [RFC2_HUMAN],51.41,2,19,19,48,319.61,37.01,12,14,195.41,31.07,11,12,205.57,30.51,9,10,254.09,32.77,11,12,unknown,NUCLEUS-CHROMATIN,0.813084275,unknown
O75146,0.01,0.031,0.011,0.02,0.048,0.041,0.064,0.044,0.01,0.063,0.043,0.057,0.104,0.102,0.077,0.085,0.115,0.122,0.113,0.153,0.148,0.136,0.168,0.142,0.139,0.152,0.14,0.186,0.353,0.266,0.284,0.239,0.06,0.053,0.037,0.041,0.01,0.014,0.01,0.01,O75146,Huntingtin-interacting protein 1-related protein OS=Homo sapiens GN=HIP1R PE=1 SV=2 - [HIP1R_HUMAN],51.4,2,52,54,146,745.6,36.33,34,38,278.8,14.98,17,18,974.58,40.73,40,49,833.32,32.68,33,41,unknown,RIBOSOME 60S,0.258090786,unknown
P08621,0.01,0.015,0.01,0.01,0.024,0.016,0.01,0.01,0.01,0.024,0.01,0.011,0.039,0.03,0.013,0.02,0.038,0.037,0.019,0.021,0.048,0.038,0.026,0.028,0.024,0.04,0.024,0.223,0.562,0.541,0.688,0.431,0.191,0.148,0.092,0.093,0.067,0.106,0.124,0.145,P08621-2,Isoform 2 of U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 - [RU17_HUMAN],51.4,4,24,24,93,371.23,35.75,13,19,214.37,20.09,11,16,716.5,42.99,17,31,507.96,39.95,19,27,unknown,NUCLEUS,0.656769851,NUCLEUS
Q9Y240,0.01,0.071,0.01,0.034,0.139,0.088,0.109,0.101,0.011,0.114,0.082,0.125,0.18,0.145,0.155,0.163,0.211,0.178,0.206,0.186,0.208,0.128,0.196,0.158,0.146,0.102,0.131,0.061,0.043,0.086,0.064,0.092,0.036,0.033,0.034,0.03,0.01,0.015,0.01,0.014,Q9Y240,C-type lectin domain family 11 member A OS=Homo sapiens GN=CLEC11A PE=1 SV=1 - [CLC11_HUMAN],51.39,1,12,12,31,111.9,13.31,4,4,109.03,36.84,7,7,227.63,25.39,8,10,229.04,24.15,7,10,unknown,ER,0.95859647,unknown
P78527,0.01,0.017,0.01,0.01,0.028,0.022,0.029,0.021,0.01,0.039,0.02,0.028,0.075,0.061,0.037,0.04,0.084,0.08,0.052,0.071,0.159,0.178,0.095,0.068,0.206,0.251,0.132,0.289,0.211,0.155,0.323,0.181,0.187,0.155,0.185,0.183,0.026,0.03,0.091,0.102,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3 - [PRKDC_HUMAN],51.38,2,218,218,769,3575.64,32.44,138,213,2621.35,26.55,109,151,3719.26,34.81,134,200,4058.49,38.13,143,205,unknown,NUCLEUS-CHROMATIN,0.727962413,unknown
Q13185,0.01,0.01,0.01,0.01,0.02,0.01,0.018,0.013,0.01,0.017,0.012,0.015,0.04,0.026,0.02,0.026,0.049,0.036,0.03,0.053,0.083,0.093,0.073,0.05,0.115,0.14,0.125,0.166,0.067,0.055,0.087,0.056,0.246,0.229,0.253,0.189,0.364,0.384,0.39,0.434,Q13185,Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4 - [CBX3_HUMAN],51.37,1,10,12,35,94.1,27.32,5,5,127.61,21.86,3,4,369.62,44.26,9,14,298.6,42.62,8,12,unknown,NUCLEUS,0.726502148,NUCLEUS
P51452,0.012,0.05,0.01,0.024,0.065,0.046,0.052,0.047,0.013,0.039,0.034,0.038,0.044,0.031,0.039,0.044,0.041,0.029,0.039,0.037,0.029,0.027,0.049,0.039,0.033,0.034,0.041,0.027,0.015,0.019,0.016,0.017,0.027,0.021,0.017,0.014,0.725,0.717,0.699,0.707,P51452,Dual specificity protein phosphatase 3 OS=Homo sapiens GN=DUSP3 PE=1 SV=1 - [DUS3_HUMAN],51.35,2,7,7,20,147.34,28.11,4,5,87.21,20,3,3,162.44,34.59,5,6,132.19,44.32,6,6,unknown,CYTOSOL,0.960205857,CYTOSOL
P55196,0.036,0.121,0.126,0.088,0.156,0.108,0.136,0.124,0.033,0.112,0.102,0.105,0.158,0.13,0.119,0.139,0.146,0.126,0.127,0.092,0.108,0.084,0.108,0.12,0.096,0.08,0.079,0.058,0.102,0.109,0.07,0.099,0.033,0.032,0.054,0.051,0.063,0.085,0.073,0.105,P55196,Afadin OS=Homo sapiens GN=MLLT4 PE=1 SV=3 - [AFAD_HUMAN],51.32,3,6,80,181,756.68,27.25,42,47,589.16,24.18,36,37,954.17,30.48,39,47,868.44,31.2,45,50,unknown,PM,0.494425444,unknown
O43715,0.014,0.049,0.01,0.052,0.121,0.049,0.093,0.106,0.025,0.08,0.031,0.11,0.123,0.106,0.094,0.136,0.126,0.165,0.146,0.17,0.226,0.225,0.341,0.124,0.156,0.146,0.171,0.063,0.103,0.103,0.071,0.087,0.053,0.011,0.01,0.01,0.053,0.065,0.045,0.079,O43715,TP53-regulated inhibitor of apoptosis 1 OS=Homo sapiens GN=TRIAP1 PE=1 SV=1 - [TRIA1_HUMAN],51.32,1,4,4,7,38.56,30.26,2,2,30.28,9.21,1,1,71.93,30.26,2,2,29.19,39.47,2,2,unknown,MITOCHONDRIA,0.604029014,unknown
Q9P206,0.011,0.123,0.077,0.131,0.167,0.114,0.125,0.126,0.014,0.127,0.097,0.103,0.198,0.154,0.117,0.147,0.185,0.147,0.139,0.097,0.14,0.099,0.117,0.1,0.093,0.087,0.09,0.081,0.104,0.107,0.145,0.127,0.041,0.029,0.048,0.044,0.01,0.011,0.02,0.022,Q9P206-2,Isoform 2 of Uncharacterized protein KIAA1522 OS=Homo sapiens GN=KIAA1522 - [K1522_HUMAN],51.28,4,36,36,99,540.37,27.7,20,22,407,20.48,16,19,656.98,33.46,22,30,659.86,32.08,21,28,unknown,PM,0.624224888,unknown
Q9Y6M1,0.01,0.041,0.01,0.026,0.063,0.04,0.043,0.036,0.01,0.049,0.025,0.026,0.081,0.061,0.033,0.038,0.083,0.077,0.044,0.041,0.08,0.078,0.07,0.07,0.053,0.09,0.079,0.203,0.353,0.302,0.365,0.24,0.155,0.139,0.135,0.121,0.069,0.116,0.189,0.189,Q9Y6M1-1,Isoform 2 of Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 - [IF2B2_HUMAN],51.26,8,25,26,59,363.51,32.73,15,18,218.09,22.66,11,13,234.19,20.68,9,11,296.7,32.37,14,17,unknown,NUCLEUS,0.805626105,NUCLEUS
O15371,0.017,0.076,0.014,0.042,0.093,0.053,0.04,0.04,0.012,0.045,0.026,0.026,0.067,0.051,0.03,0.043,0.062,0.05,0.036,0.033,0.062,0.054,0.051,0.055,0.06,0.059,0.051,0.192,0.348,0.285,0.498,0.312,0.044,0.037,0.031,0.033,0.219,0.304,0.211,0.212,O15371-3,Isoform 3 of Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens GN=EIF3D - [EIF3D_HUMAN],51.22,3,21,21,69,317.92,31.14,12,14,303.47,22.89,11,11,497.03,38.65,14,22,541.1,43.9,15,22,unknown,NUCLEUS,0.506957179,unknown
P23246,0.01,0.014,0.01,0.011,0.02,0.018,0.018,0.016,0.01,0.026,0.015,0.022,0.04,0.035,0.028,0.035,0.037,0.043,0.04,0.045,0.059,0.058,0.058,0.056,0.045,0.054,0.041,0.166,0.411,0.413,0.619,0.464,0.326,0.296,0.142,0.156,0.026,0.031,0.015,0.019,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2 - [SFPQ_HUMAN]",51.2,2,43,44,320,1169.43,41.58,30,71,1056.24,40.74,26,53,1786.14,47.81,33,99,1458.87,50.21,40,97,unknown,NUCLEUS,0.780627158,NUCLEUS
P62851,0.01,0.025,0.032,0.011,0.064,0.033,0.127,0.022,0.013,0.048,0.104,0.04,0.1,0.07,0.152,0.071,0.106,0.094,0.193,0.067,0.121,0.083,0.115,0.075,0.045,0.067,0.091,0.156,0.407,0.454,0.061,0.445,0.044,0.036,0.03,0.031,0.046,0.068,0.022,0.064,P62851,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1 - [RS25_HUMAN],51.2,1,11,11,47,357.98,46.4,10,16,260.61,34.4,6,15,191.5,45.6,6,8,139.72,40.8,6,8,unknown,NUCLEUS,0.390663702,unknown
O14979,0.01,0.013,0.01,0.011,0.02,0.012,0.011,0.016,0.01,0.013,0.01,0.016,0.025,0.016,0.011,0.021,0.022,0.016,0.016,0.024,0.038,0.028,0.027,0.031,0.039,0.05,0.03,0.065,0.115,0.111,0.082,0.073,0.572,0.566,0.493,0.393,0.06,0.098,0.272,0.274,O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3 - [HNRDL_HUMAN],51.19,5,22,24,79,156.49,28.81,12,16,247.05,38.1,13,15,282.11,30.95,13,22,498.69,37.38,17,26,unknown,NUCLEUS,0.689492677,NUCLEUS
P61018,0.01,0.122,0.01,0.071,0.223,0.197,0.134,0.196,0.016,0.256,0.119,0.227,0.334,0.196,0.256,0.222,0.19,0.097,0.174,0.1,0.097,0.049,0.116,0.075,0.074,0.039,0.082,0.032,0.027,0.027,0.043,0.06,0.011,0.01,0.01,0.01,0.016,0.012,0.028,0.026,P61018,Ras-related protein Rab-4B OS=Homo sapiens GN=RAB4B PE=1 SV=1 - [RAB4B_HUMAN],51.17,2,7,10,46,248.07,30.05,6,9,206.67,33.8,6,10,331.14,32.39,6,13,399.48,36.62,7,14,unknown,PM,0.686591358,unknown
Q92925,0.01,0.015,0.01,0.012,0.017,0.021,0.016,0.016,0.01,0.025,0.01,0.015,0.046,0.044,0.017,0.022,0.049,0.06,0.024,0.035,0.114,0.141,0.046,0.037,0.164,0.214,0.113,0.191,0.126,0.09,0.137,0.075,0.413,0.343,0.443,0.401,0.032,0.036,0.182,0.188,Q92925-3,Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens GN=SMARCD2 - [SMRD2_HUMAN],51.14,3,18,21,51,288.71,38.1,13,16,140.33,13.66,6,8,265.43,26.5,10,12,347.42,30.85,13,15,unknown,NUCLEUS,0.777436772,NUCLEUS
Q96JY6,0.025,0.035,0.029,0.05,0.11,0.038,0.059,0.049,0.014,0.062,0.048,0.06,0.115,0.094,0.071,0.083,0.121,0.118,0.108,0.105,0.144,0.131,0.145,0.134,0.145,0.18,0.128,0.135,0.177,0.169,0.196,0.145,0.018,0.025,0.068,0.062,0.116,0.106,0.081,0.121,Q96JY6,PDZ and LIM domain protein 2 OS=Homo sapiens GN=PDLIM2 PE=1 SV=1 - [PDLI2_HUMAN],51.14,5,12,12,33,128.84,15.34,5,5,245.58,32.1,7,9,286.24,31.82,8,9,285.78,35.23,9,10,unknown,NUCLEUS,0.378618409,unknown
P55884,0.01,0.057,0.01,0.019,0.081,0.049,0.035,0.032,0.01,0.04,0.02,0.026,0.06,0.04,0.03,0.033,0.056,0.042,0.033,0.027,0.055,0.045,0.045,0.046,0.054,0.052,0.043,0.157,0.319,0.24,0.421,0.247,0.042,0.034,0.022,0.024,0.299,0.402,0.342,0.373,P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3 - [EIF3B_HUMAN],51.11,2,35,35,101,645.28,30.59,22,25,286.66,17.94,11,14,568.96,32.43,24,33,573.23,37.59,22,29,unknown,NUCLEUS,0.470790982,unknown
Q96ER9,0.011,0.036,0.01,0.037,0.044,0.041,0.092,0.066,0.02,0.074,0.059,0.086,0.108,0.097,0.095,0.111,0.137,0.172,0.141,0.275,0.324,0.257,0.313,0.174,0.228,0.165,0.173,0.083,0.069,0.127,0.1,0.109,0.017,0.011,0.011,0.013,0.017,0.012,0.01,0.013,Q96ER9,Coiled-coil domain-containing protein 51 OS=Homo sapiens GN=CCDC51 PE=1 SV=2 - [CCD51_HUMAN],51.09,2,18,18,47,251.89,21.41,8,9,97.33,20.19,7,8,278.24,35.28,13,16,338.78,37.47,11,14,unknown,MITOCHONDRIA,0.974852696,MITOCHONDRIA
Q7L1Q6,0.01,0.05,0.011,0.013,0.042,0.042,0.034,0.03,0.01,0.049,0.022,0.033,0.073,0.061,0.049,0.041,0.084,0.075,0.068,0.059,0.132,0.138,0.094,0.084,0.185,0.214,0.123,0.196,0.262,0.181,0.282,0.196,0.042,0.021,0.036,0.034,0.166,0.148,0.253,0.318,Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1 PE=1 SV=1 - [BZW1_HUMAN],51.07,4,20,22,54,186.61,26.97,12,18,119.49,26.49,10,10,111.09,26.73,10,13,148.24,35.08,13,13,unknown,NUCLEUS,0.631989202,NUCLEUS
Q9H4L5,0.01,0.065,0.018,0.046,0.103,0.096,0.1,0.118,0.018,0.143,0.088,0.159,0.208,0.162,0.187,0.209,0.186,0.182,0.193,0.147,0.183,0.124,0.153,0.121,0.136,0.091,0.112,0.06,0.08,0.077,0.071,0.088,0.033,0.024,0.02,0.017,0.024,0.023,0.028,0.026,Q9H4L5,Oxysterol-binding protein-related protein 3 OS=Homo sapiens GN=OSBPL3 PE=1 SV=1 - [OSBL3_HUMAN],51.07,8,41,43,105,491.6,34.72,27,34,308.15,27.28,21,25,312.05,25.59,20,22,364.03,29.76,22,24,unknown,ER,0.892616033,unknown
P46937,0.021,0.055,0.085,0.049,0.058,0.041,0.063,0.045,0.013,0.039,0.038,0.051,0.048,0.042,0.043,0.044,0.041,0.044,0.043,0.036,0.036,0.056,0.048,0.045,0.032,0.072,0.048,0.04,0.018,0.05,0.042,0.04,0.052,0.051,0.139,0.112,0.679,0.547,0.459,0.465,P46937-6,Isoform 6 of Transcriptional coactivator YAP1 OS=Homo sapiens GN=YAP1 - [YAP1_HUMAN],51.07,9,13,13,35,290.5,31.12,8,11,211.28,22.96,7,7,213.7,29.61,7,7,164.81,36.7,10,10,unknown,CYTOSOL,0.653702661,unknown
Q9BVK6,0.01,0.075,0.01,0.025,0.104,0.108,0.103,0.122,0.01,0.164,0.083,0.174,0.214,0.167,0.192,0.188,0.2,0.162,0.185,0.169,0.193,0.138,0.143,0.124,0.151,0.1,0.132,0.052,0.055,0.065,0.047,0.093,0.018,0.011,0.015,0.013,0.014,0.01,0.01,0.01,Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 - [TMED9_HUMAN],51.06,1,15,16,65,243.65,31.49,9,12,124.18,22.98,6,9,409.94,44.68,11,16,599.9,43.4,13,28,unknown,ER,0.871237048,unknown
P11047,0.01,0.068,0.01,0.056,0.112,0.091,0.085,0.092,0.01,0.115,0.087,0.113,0.181,0.152,0.142,0.187,0.222,0.223,0.223,0.188,0.231,0.146,0.223,0.176,0.161,0.094,0.144,0.057,0.05,0.079,0.059,0.097,0.018,0.014,0.016,0.012,0.013,0.013,0.01,0.01,P11047,Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3 - [LAMC1_HUMAN],51.03,4,74,74,223,844.79,33.62,43,48,761.78,26.1,31,37,1256.01,38.41,54,65,1156.68,42.57,56,73,unknown,ER,0.964155436,ER
